time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,mtr_trq_Nm,mtr_rpm,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,delta_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
600,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
601,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
602,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
603,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
604,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
605,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
606,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
607,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
608,0.0,0.32,0.0,55.25,0.0,91.04,0.0,146.29,9.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
609,2.3,1.01,0.0,55.25,0.13,288.96,0.0,344.34,23.51,112.27,0.22,0.29,0.03,0.04,95.65,124.59,52,5.51,0.06,51.94,5.52
610,7.3,1.79,0.0,55.25,1.32,510.62,0.0,567.2,38.77,356.34,1.15,1.62,0.22,0.3,133.63,184.44,52,31.19,0.31,51.69,31.38
611,15.2,2.31,0.0,55.25,5.74,657.08,0.0,718.07,49.1,741.97,3.03,4.44,0.8,1.15,167.79,239.97,52,85.35,0.85,51.15,86.78
612,23.9,2.4,0.01,55.25,14.18,684.79,0.0,754.22,51.56,1166.66,5.01,6.69,1.92,2.69,187.91,263.68,52,128.6,1.29,50.71,131.86
613,32.5,2.13,0.02,55.25,26.23,605.63,0.0,687.1,46.95,1586.46,6.2,7.86,3.48,4.71,192.62,261.17,52,151.13,1.51,50.49,155.66
614,39.2,1.61,0.03,55.25,38.15,459.17,0.0,552.57,37.72,1913.51,6.02,7.45,5.17,6.84,184.73,244.24,52,143.33,1.43,50.57,147.39
615,44.1,1.24,0.04,55.25,48.29,352.29,0.0,455.83,31.08,2152.7,5.58,6.77,6.78,8.81,171.44,222.76,52,130.26,1.3,50.7,133.6
616,48.1,0.99,0.05,55.25,57.45,281.04,0.0,393.74,26.81,2347.96,5.26,6.35,8.29,10.64,158.28,203.09,52,122.05,1.22,50.78,124.99
617,51.2,0.72,0.07,55.25,65.09,205.83,0.0,326.17,22.17,2499.28,4.64,5.57,9.66,12.29,146.07,185.76,52,107.04,1.07,50.93,109.29
618,53.3,0.46,0.08,55.25,70.54,130.62,0.0,256.41,17.39,2601.79,3.8,4.52,10.84,13.69,134.31,169.71,52,86.94,0.87,51.13,88.42
619,54.5,0.33,0.1,55.25,73.75,95.0,0.0,224.0,15.16,2660.37,3.39,4.04,11.83,14.88,123.72,155.58,52,77.66,0.78,51.22,78.84
620,55.7,0.32,0.11,55.25,77.03,91.04,0.0,223.33,15.11,2718.95,3.46,4.11,12.79,16.01,115.23,144.32,52,79.13,0.79,51.21,80.36
621,56.8,0.25,0.13,55.25,80.11,71.25,0.0,206.61,13.96,2772.64,3.26,3.97,13.72,17.14,108.37,135.37,52,76.29,0.76,51.24,77.43
622,57.5,0.17,0.14,55.25,82.09,47.5,0.0,184.84,12.47,2806.81,2.95,3.59,14.58,18.19,102.35,127.66,52,69.1,0.69,51.31,70.03
623,58.0,0.12,0.16,55.25,83.53,35.62,0.0,174.4,11.75,2831.22,2.81,3.42,15.38,19.16,97.04,120.88,52,65.76,0.66,51.34,66.6
624,58.4,0.07,0.17,55.25,84.68,19.79,0.0,159.73,10.74,2850.74,2.59,3.15,16.13,20.07,92.36,114.92,52,60.64,0.61,51.39,61.36
625,58.5,0.01,0.19,55.25,84.97,3.96,0.0,144.18,9.68,2855.62,2.34,2.95,16.82,20.92,88.09,109.59,52,56.83,0.57,51.43,57.45
626,58.5,0.01,0.21,55.25,84.97,3.96,0.0,144.18,9.68,2855.62,2.34,2.95,17.47,21.74,84.32,104.96,52,56.83,0.57,51.43,57.45
627,58.6,0.06,0.22,55.25,85.27,15.83,0.0,156.35,10.51,2860.51,2.55,3.1,18.15,22.58,81.22,101.08,52,59.56,0.6,51.4,60.25
628,58.9,0.1,0.24,55.25,86.14,27.71,0.0,169.1,11.38,2875.15,2.77,3.37,18.88,23.48,78.77,97.94,52,64.75,0.65,51.35,65.57
629,59.3,0.12,0.26,55.25,87.31,35.62,0.0,178.19,12.0,2894.68,2.94,3.57,19.68,24.44,76.81,95.43,52,68.69,0.69,51.31,69.61
630,59.8,0.13,0.27,55.25,88.79,35.63,0.0,179.67,12.1,2919.08,2.98,3.63,20.5,25.44,75.17,93.31,52,69.85,0.7,51.3,70.8
631,60.2,0.1,0.29,55.25,89.98,27.71,0.0,172.94,11.64,2938.61,2.89,3.52,21.31,26.44,73.66,91.37,52,67.68,0.68,51.32,68.58
632,60.5,0.08,0.31,55.25,90.88,23.75,0.0,169.88,11.43,2953.25,2.85,3.47,22.11,27.41,72.23,89.54,52,66.82,0.67,51.33,67.69
633,60.8,0.08,0.32,55.25,91.79,23.75,0.0,170.79,11.49,2967.9,2.88,3.51,22.91,28.38,70.93,87.87,52,67.51,0.68,51.32,68.39
634,61.1,0.1,0.34,55.25,92.7,27.71,0.0,175.65,11.82,2982.54,2.98,3.63,23.72,29.37,69.8,86.41,52,69.77,0.7,51.3,70.72
635,61.5,0.12,0.36,55.25,93.91,35.62,0.0,184.79,12.45,3002.07,3.16,3.8,24.58,30.4,68.86,85.18,52,73.08,0.73,51.27,74.12
636,62.0,0.14,0.37,55.25,95.45,39.58,0.0,190.28,12.82,3026.47,3.28,3.94,25.47,31.48,68.09,84.15,52,75.86,0.76,51.24,76.99
637,62.5,0.14,0.39,55.25,96.99,39.58,0.0,191.83,12.92,3050.88,3.33,4.01,26.39,32.58,67.42,83.25,52,77.1,0.77,51.23,78.26
638,63.0,0.12,0.41,55.25,98.55,35.62,0.0,189.43,12.76,3075.29,3.31,3.99,27.31,33.69,66.81,82.42,52,76.74,0.77,51.23,77.89
