time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,mtr_trq_Nm,mtr_rpm,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,delta_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
1201,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
1202,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
1203,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
1204,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
1205,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
1206,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
1207,0.0,0.12,0.0,55.25,0.0,35.62,0.0,90.88,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
1208,0.9,0.44,0.0,55.25,0.02,126.67,0.0,181.94,12.38,43.93,0.05,0.06,0.01,0.01,50.54,63.81,52,1.1,0.01,51.99,1.1
1209,3.2,0.89,0.0,55.25,0.25,253.33,0.0,308.84,21.08,156.21,0.27,0.36,0.05,0.07,73.1,94.49,52,6.88,0.07,51.93,6.89
1210,7.3,1.28,0.0,55.25,1.32,364.17,0.0,420.74,28.74,356.34,0.85,1.13,0.21,0.27,96.33,126.27,52,21.68,0.22,51.78,21.77
1211,12.4,1.47,0.0,55.25,3.82,419.58,0.0,478.65,32.7,605.29,1.65,2.27,0.55,0.74,113.5,152.03,52,43.6,0.44,51.56,43.97
1212,17.9,1.54,0.01,55.25,7.96,439.37,0.0,502.58,34.34,873.77,2.5,3.44,1.13,1.54,124.32,168.78,52,66.08,0.66,51.34,66.94
1213,23.5,1.56,0.01,55.25,13.71,443.33,0.0,512.3,34.99,1147.13,3.34,4.23,1.94,2.6,130.83,175.15,52,81.39,0.81,51.19,82.68
1214,29.1,1.5,0.02,55.25,21.03,427.5,0.0,503.78,34.4,1420.49,4.07,5.15,2.97,3.9,134.18,176.23,52,99.1,0.99,51.01,101.03
1215,34.3,1.32,0.03,55.25,29.21,376.04,0.0,460.5,31.42,1674.32,4.39,5.4,4.15,5.37,133.97,173.45,52,103.82,1.04,50.96,105.94
1216,38.6,1.01,0.04,55.25,37.0,288.96,0.0,381.2,25.98,1884.22,4.09,4.99,5.32,6.81,129.6,165.82,52,95.97,0.96,51.04,97.78
1217,41.6,0.74,0.05,55.25,42.97,209.79,0.0,308.01,20.96,2030.67,3.56,4.27,6.39,8.1,122.3,155.08,52,82.13,0.82,51.18,83.45
1218,43.9,0.6,0.06,55.25,47.85,170.21,0.0,273.31,18.58,2142.94,3.33,4.01,7.34,9.25,114.57,144.29,52,77.07,0.77,51.23,78.23
1219,45.9,0.58,0.08,55.25,52.31,166.25,0.0,273.81,18.6,2240.57,3.49,4.2,8.29,10.39,108.29,135.67,52,80.73,0.81,51.19,82.01
1220,48.1,0.61,0.09,55.25,57.45,174.17,0.0,286.86,19.49,2347.96,3.83,4.61,9.31,11.61,103.86,129.56,52,88.63,0.89,51.11,90.17
1221,50.3,0.62,0.1,55.25,62.82,178.12,0.0,296.2,20.12,2455.35,4.14,4.97,10.42,12.94,100.84,125.29,52,95.5,0.95,51.05,97.28
1222,52.6,0.62,0.12,55.25,68.7,178.12,0.0,302.07,20.52,2567.62,4.41,5.29,11.6,14.37,98.69,122.18,52,101.74,1.02,50.98,103.77
1223,54.8,0.44,0.13,55.25,74.57,126.67,0.0,256.48,17.38,2675.01,3.9,4.65,12.76,15.75,96.29,118.84,52,89.41,0.89,51.11,90.98
1224,55.8,0.06,0.15,55.25,77.31,15.83,0.0,148.4,9.98,2723.83,2.3,2.9,13.62,16.8,92.12,113.59,52,55.79,0.56,51.44,56.39
1225,55.2,-0.28,0.16,55.25,75.66,-79.17,0.0,51.74,3.36,2694.54,0.79,1.0,14.05,17.34,86.05,106.18,52,19.24,0.19,51.81,19.31
1226,53.8,-0.35,0.18,55.25,71.87,-98.96,0.0,28.16,1.75,2626.2,0.42,0.53,14.22,17.55,79.7,98.36,52,10.21,0.1,51.9,10.23
1227,52.7,-0.14,0.19,55.25,68.96,-39.58,0.0,84.63,5.62,2572.5,1.24,1.56,14.45,17.84,74.79,92.34,52,30.05,0.3,51.7,30.22
1228,52.8,0.32,0.21,55.25,69.22,91.04,0.0,215.51,14.59,2577.38,3.16,3.85,15.06,18.59,72.46,89.44,52,73.98,0.74,51.26,75.04
1229,55.0,0.79,0.22,55.25,75.11,225.63,0.0,355.99,24.2,2684.78,5.44,6.52,16.25,20.03,72.95,89.89,52,125.36,1.25,50.75,128.46
1230,58.5,1.01,0.24,55.25,84.97,288.96,0.0,429.18,29.2,2855.62,6.97,8.41,17.98,22.11,75.35,92.65,52,161.8,1.62,50.38,167.0
1231,62.3,1.0,0.26,55.25,96.37,285.0,0.0,436.62,29.69,3041.12,7.56,9.07,20.0,24.53,78.3,96.07,52,174.36,1.74,50.26,180.4
1232,65.7,0.79,0.27,55.25,107.18,225.63,0.0,388.05,26.35,3207.09,7.08,8.5,22.03,26.97,80.65,98.75,52,163.42,1.63,50.37,168.72
1233,68.0,0.47,0.29,55.25,114.81,134.58,0.0,304.65,20.63,3319.36,5.75,6.88,23.81,29.11,81.63,99.78,52,132.36,1.32,50.68,135.81
1234,69.1,0.21,0.31,55.25,118.56,59.37,0.0,233.18,15.73,3373.05,4.48,5.36,25.23,30.81,81.2,99.14,52,103.06,1.03,50.97,105.14
1235,69.5,0.11,0.33,55.25,119.94,31.67,0.0,206.85,13.92,3392.58,3.99,4.81,26.41,32.22,80.03,97.63,52,92.45,0.92,51.08,94.12
1236,69.9,0.15,0.35,55.25,121.32,43.54,0.0,220.11,14.83,3412.11,4.27,5.14,27.56,33.6,78.88,96.18,52,98.94,0.99,51.01,100.86
1237,70.6,0.19,0.37,55.25,123.76,55.42,0.0,234.43,15.81,3446.28,4.6,5.5,28.79,35.08,78.05,95.1,52,105.86,1.06,50.94,108.06
1238,71.3,0.22,0.39,55.25,126.23,63.33,0.0,244.81,16.51,3480.44,4.85,5.81,30.1,36.65,77.46,94.32,52,111.64,1.12,50.88,114.09
1239,72.2,0.21,0.41,55.25,129.43,59.37,0.0,244.06,16.46,3524.38,4.89,5.89,31.46,38.28,77.0,93.7,52,113.31,1.13,50.87,115.84
1240,72.8,0.14,0.43,55.25,131.6,39.58,0.0,226.43,15.25,3553.67,4.58,5.51,32.77,39.86,76.45,92.99,52,106.0,1.06,50.94,108.21
1241,73.2,0.08,0.45,55.25,133.05,23.75,0.0,212.05,14.26,3573.19,4.31,5.2,34.01,41.35,75.75,92.1,52,99.92,1.0,51.0,101.88
1242,73.4,0.08,0.47,55.25,133.77,23.75,0.0,212.77,14.31,3582.95,4.34,5.23,35.21,42.8,75.02,91.19,52,100.54,1.01,50.99,102.52
1243,73.8,0.19,0.49,55.25,135.24,55.42,0.0,245.9,16.57,3602.48,5.04,6.07,36.51,44.37,74.55,90.59,52,116.7,1.17,50.83,119.38
1244,74.8,0.4,0.51,55.25,138.92,114.79,0.0,308.97,20.89,3651.29,6.42,7.69,38.1,46.28,74.65,90.67,52,147.81,1.48,50.52,152.14
1245,76.7,0.6,0.53,55.25,146.07,170.21,0.0,371.53,25.16,3744.04,7.92,9.51,40.09,48.66,75.44,91.57,52,182.85,1.83,50.17,189.52
1246,79.1,0.61,0.55,55.25,155.36,174.17,0.0,384.77,26.06,3861.19,8.45,10.16,42.37,51.4,76.6,92.93,52,195.3,1.95,50.05,202.92
1247,81.1,0.42,0.58,55.25,163.31,118.75,0.0,337.31,22.8,3958.82,7.6,9.1,44.6,54.07,77.52,93.98,52,174.97,1.75,50.25,181.06
1248,82.1,0.08,0.6,55.25,167.36,23.75,0.0,246.36,16.56,4007.64,5.62,6.8,46.43,56.28,77.65,94.11,52,130.78,1.31,50.69,134.15
1249,81.7,-0.25,0.62,55.25,165.74,-71.25,0.0,149.74,9.95,3988.11,3.4,4.32,47.68,57.82,76.82,93.15,52,83.08,0.83,51.17,84.43
1250,80.3,-0.4,0.64,55.25,160.11,-114.79,0.0,100.56,6.58,3919.77,2.24,2.85,48.47,58.82,75.35,91.44,52,54.84,0.55,51.45,55.42
1251,78.8,-0.42,0.67,55.25,154.18,-118.75,0.0,90.68,5.92,3846.55,1.98,2.52,49.06,59.56,73.73,89.53,52,48.53,0.49,51.51,48.98
1252,77.3,-0.4,0.69,55.25,148.37,-114.79,0.0,88.82,5.8,3773.33,1.91,2.42,49.6,60.25,72.19,87.7,52,46.63,0.47,51.53,47.05
1253,75.9,-0.32,0.71,55.25,143.04,-91.04,0.0,107.25,7.07,3704.99,2.26,2.87,50.17,60.99,70.84,86.11,52,55.28,0.55,51.45,55.88
1254,75.0,-0.17,0.73,55.25,139.67,-47.5,0.0,147.42,9.82,3661.06,3.07,3.9,50.92,61.93,69.82,84.92,52,75.09,0.75,51.25,76.19
1255,74.7,-0.06,0.75,55.25,138.55,-15.83,0.0,177.97,11.92,3646.41,3.69,4.45,51.85,63.09,69.14,84.11,52,85.58,0.86,51.14,87.02
