time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,mtr_trq_Nm,mtr_rpm,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,delta_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
0,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
1,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
2,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
3,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
4,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
5,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
6,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
7,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
8,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
9,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
10,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
11,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
12,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
13,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
14,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
15,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
16,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
17,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
18,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
19,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
20,0.0,0.67,0.0,55.25,0.0,190.0,0.0,245.25,16.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
21,4.8,1.32,0.0,55.25,0.57,376.04,0.0,431.86,29.5,234.31,0.58,0.76,0.08,0.11,119.96,158.49,52,14.63,0.15,51.85,14.67
22,9.5,1.25,0.0,55.25,2.24,356.25,0.0,413.74,28.26,463.73,1.09,1.44,0.31,0.41,117.46,155.18,52,27.74,0.28,51.72,27.89
23,13.8,1.25,0.01,55.25,4.73,356.25,0.0,416.23,28.43,673.63,1.6,2.11,0.68,0.9,116.29,153.64,52,40.54,0.41,51.59,40.86
24,18.5,1.28,0.01,55.25,8.5,364.17,0.0,427.91,29.22,903.06,2.2,2.91,1.21,1.6,116.81,154.32,52,55.87,0.56,51.44,56.48
25,23.0,1.21,0.02,55.25,13.14,344.38,0.0,412.76,28.18,1122.72,2.64,3.29,1.88,2.46,116.71,152.54,52,63.31,0.63,51.37,64.09
26,27.2,0.67,0.02,55.25,18.37,190.0,0.0,263.62,17.95,1327.74,1.99,2.45,2.53,3.26,109.32,141.0,52,47.03,0.47,51.53,47.46
27,27.8,0.26,0.03,55.25,19.19,75.21,0.0,149.65,10.15,1357.03,1.16,1.43,2.96,3.8,96.38,123.46,52,27.44,0.27,51.73,27.58
28,29.1,0.76,0.04,55.25,21.03,217.71,0.0,293.98,20.03,1420.49,2.38,2.93,3.45,4.4,89.36,113.89,52,56.42,0.56,51.44,57.04
29,33.3,0.81,0.05,55.25,27.53,229.58,0.0,312.37,21.28,1625.51,2.89,3.5,4.19,5.3,88.45,111.93,52,67.4,0.67,51.33,68.29
30,34.9,0.38,0.06,55.25,30.24,106.88,0.0,192.37,13.06,1703.61,1.86,2.27,4.85,6.1,85.33,107.39,52,43.69,0.44,51.56,44.06
31,36.0,0.18,0.07,55.25,32.18,51.46,0.0,138.89,9.39,1757.31,1.39,1.76,5.3,6.66,79.5,99.93,52,33.88,0.34,51.66,34.1
32,36.2,-0.06,0.08,55.25,32.54,-15.83,0.0,71.95,4.8,1767.07,0.72,0.92,5.59,7.03,72.93,91.71,52,17.65,0.18,51.82,17.71
33,35.6,-0.22,0.09,55.25,31.47,-63.33,0.0,23.39,1.48,1737.78,0.23,0.29,5.72,7.2,66.06,83.1,52,5.64,0.06,51.94,5.65
34,34.6,-0.28,0.1,55.25,29.73,-79.17,0.0,5.81,0.28,1688.97,0.06,0.07,5.76,7.25,59.8,75.22,52,1.36,0.01,51.99,1.36
35,33.6,-0.25,0.11,55.25,28.03,-71.25,0.0,12.03,0.71,1640.15,0.11,0.14,5.79,7.28,54.67,68.76,52,2.74,0.03,51.97,2.74
36,32.8,-0.24,0.12,55.25,26.71,-67.29,0.0,14.67,0.89,1601.1,0.13,0.17,5.82,7.32,50.58,63.63,52,3.26,0.03,51.97,3.26
37,31.9,-0.75,0.12,55.25,25.27,-213.75,0.0,-133.23,-9.24,1557.17,-1.18,,5.68,7.32,45.75,59.02,52,,,,
38,27.4,-1.1,0.13,55.25,18.64,-312.71,0.0,-238.82,-16.46,1337.51,-1.82,,5.26,7.32,39.75,55.35,52,,,,
39,24.0,-0.47,0.14,55.25,14.3,-134.58,0.0,-65.03,-4.55,1171.54,-0.43,,4.95,7.32,35.47,52.51,52,,,,
40,24.0,0.07,0.15,55.25,14.3,19.79,0.0,89.34,6.02,1171.54,0.6,0.76,4.97,7.32,34.01,50.12,52,14.61,0.15,51.85,14.65
41,24.5,0.12,0.15,55.25,14.9,35.62,0.0,105.78,7.15,1195.95,0.72,0.92,5.15,7.56,33.71,49.43,52,17.66,0.18,51.82,17.72
42,24.9,0.17,0.16,55.25,15.39,47.5,0.0,118.14,7.99,1215.47,0.82,1.04,5.37,7.83,33.59,49.02,52,20.05,0.2,51.8,20.12
43,25.7,0.36,0.17,55.25,16.4,102.92,0.0,174.57,11.86,1254.52,1.25,1.54,5.65,8.19,33.9,49.1,52,29.59,0.3,51.7,29.76
44,27.5,0.69,0.17,55.25,18.78,197.92,0.0,271.94,18.52,1342.39,2.08,2.55,6.11,8.75,35.11,50.28,52,49.05,0.49,51.51,49.51
