time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,mtr_trq_Nm,mtr_rpm,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,delta_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
0,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
1,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
2,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
3,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
4,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
5,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
6,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
7,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
8,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
9,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
10,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
11,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
12,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
13,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
14,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
15,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
16,0.0,0.32,0.0,55.25,0.0,92.36,0.0,147.61,9.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
17,2.33,0.65,0.0,55.25,0.14,184.72,0.0,240.11,15.02,124.2,0.16,0.2,0.02,0.03,66.7,86.07,52,3.86,0.04,51.96,3.87
18,4.67,0.65,0.0,55.25,0.54,184.72,0.0,240.51,15.05,248.4,0.31,0.4,0.09,0.11,66.75,86.14,52,7.74,0.08,51.92,7.75
19,7.0,0.65,0.0,55.25,1.22,184.72,0.0,241.19,15.09,372.6,0.47,0.61,0.19,0.25,66.85,86.26,52,11.64,0.12,51.88,11.66
20,9.33,0.65,0.01,55.25,2.16,184.72,0.0,242.14,15.15,496.8,0.63,0.81,0.35,0.45,66.98,86.43,52,15.58,0.16,51.84,15.63
21,11.67,0.65,0.01,55.25,3.38,184.72,0.0,243.35,15.22,621.0,0.79,1.02,0.54,0.7,67.15,86.65,52,19.57,0.2,51.8,19.65
22,14.0,0.6,0.01,55.25,4.87,171.53,0.0,231.64,14.48,745.2,0.9,1.14,0.78,1.0,66.74,85.83,52,21.87,0.22,51.78,21.97
23,16.0,0.56,0.02,55.25,6.36,158.33,0.0,219.94,13.74,851.66,0.98,1.23,1.04,1.33,65.66,84.05,52,23.74,0.24,51.76,23.84
24,18.0,0.56,0.02,55.25,8.04,158.33,0.0,221.63,13.85,958.11,1.11,1.4,1.33,1.7,64.66,82.53,52,26.91,0.27,51.73,27.05
25,20.0,0.56,0.03,55.25,9.93,158.33,0.0,223.52,13.96,1064.57,1.24,1.53,1.66,2.1,64.09,81.44,52,29.48,0.29,51.71,29.65
26,22.0,-0.03,0.03,55.25,12.02,-9.9,0.0,57.37,3.52,1171.03,0.35,0.45,1.88,2.38,59.27,75.12,52,8.6,0.09,51.91,8.62
27,19.75,-0.62,0.04,55.25,9.69,-178.12,0.0,-113.19,-7.2,1051.26,-0.62,,1.84,2.38,49.09,63.49,52,,,,
28,17.5,-0.62,0.04,55.25,7.6,-178.12,0.0,-115.27,-7.33,931.5,-0.56,,1.68,2.38,39.29,55.79,52,,,,
29,15.25,-0.62,0.05,55.25,5.77,-178.12,0.0,-117.1,-7.44,811.73,-0.5,,1.53,2.38,32.39,50.41,52,,,,
30,13.0,-0.31,0.05,55.25,4.2,-89.06,0.0,-29.62,-1.94,691.97,-0.11,,1.44,2.38,28.27,46.54,52,,,,
31,13.0,0.0,0.05,55.25,4.2,0.0,0.0,59.45,3.66,691.97,0.21,0.28,1.46,2.38,26.67,43.47,52,5.33,0.05,51.95,5.33
32,13.0,0.28,0.06,55.25,4.2,79.17,0.0,138.61,8.63,691.97,0.5,0.65,1.56,2.51,26.73,42.98,52,12.42,0.12,51.88,12.45
33,15.0,0.56,0.06,55.25,5.59,158.33,0.0,219.17,13.7,798.43,0.91,1.15,1.76,2.76,28.21,44.31,52,22.17,0.22,51.78,22.27
34,17.0,0.56,0.07,55.25,7.18,158.33,0.0,220.76,13.79,904.88,1.04,1.32,2.03,3.1,30.4,46.5,52,25.31,0.25,51.75,25.44
35,19.0,0.56,0.07,55.25,8.96,158.33,0.0,222.55,13.9,1011.34,1.17,1.45,2.33,3.48,32.58,48.61,52,27.89,0.28,51.72,28.04
36,21.0,0.56,0.08,55.25,10.95,158.33,0.0,224.53,14.03,1117.8,1.31,1.62,2.68,3.91,34.7,50.63,52,31.1,0.31,51.69,31.28
37,23.0,0.5,0.08,55.25,13.14,142.5,0.0,210.89,13.17,1224.26,1.35,1.66,3.05,4.37,36.59,52.39,52,31.99,0.32,51.68,32.19
38,24.6,0.44,0.09,55.25,15.03,126.67,0.0,196.94,12.29,1309.42,1.35,1.66,3.42,4.83,38.06,53.67,52,31.95,0.32,51.68,32.15
39,26.2,0.44,0.1,55.25,17.04,126.67,0.0,198.96,12.41,1394.59,1.45,1.79,3.81,5.31,39.29,54.71,52,34.38,0.34,51.66,34.61
40,27.8,0.44,0.1,55.25,19.19,126.67,0.0,201.11,12.54,1479.75,1.55,1.92,4.23,5.82,40.46,55.7,52,36.87,0.37,51.63,37.13
41,29.4,0.44,0.11,55.25,21.46,126.67,0.0,203.38,12.68,1564.92,1.66,2.02,4.67,6.37,41.57,56.64,52,38.91,0.39,51.61,39.21
42,31.0,-0.06,0.12,55.25,23.86,-15.83,0.0,63.28,3.87,1650.08,0.54,0.69,4.98,6.75,41.22,55.82,52,13.29,0.13,51.87,13.33
43,29.0,-0.56,0.13,55.25,20.88,-158.33,0.0,-82.2,-5.27,1543.63,-0.66,,4.96,6.75,38.43,52.22,52,,,,
44,27.0,-0.56,0.14,55.25,18.1,-158.33,0.0,-84.98,-5.44,1437.17,-0.64,,4.78,6.75,34.93,49.26,52,,,,
45,25.0,-0.28,0.14,55.25,15.52,-79.17,0.0,-8.4,-0.62,1330.71,-0.06,,4.69,6.75,32.51,46.79,52,,,,
46,25.0,0.0,0.15,55.25,15.52,0.0,0.0,70.77,4.35,1330.71,0.49,0.63,4.75,6.75,31.42,44.64,52,12.06,0.12,51.88,12.08
47,25.0,0.0,0.16,55.25,15.52,0.0,0.0,70.77,4.35,1330.71,0.49,0.63,4.88,6.92,30.9,43.78,52,12.06,0.12,51.88,12.08
48,25.0,0.0,0.16,55.25,15.52,0.0,0.0,70.77,4.35,1330.71,0.49,0.63,5.02,7.09,30.43,42.99,52,12.06,0.12,51.88,12.08
49,25.0,-0.28,0.17,55.25,15.52,-79.17,0.0,-8.4,-0.62,1330.71,-0.06,,5.08,7.09,29.55,41.26,52,,,,
50,23.0,-0.56,0.18,55.25,13.14,-158.33,0.0,-89.95,-5.75,1224.26,-0.57,,4.99,7.09,27.95,39.72,52,,,,
51,21.0,-0.05,0.18,55.25,10.95,-14.84,0.0,51.36,3.14,1117.8,0.3,0.38,4.95,7.09,26.82,38.4,52,7.35,0.07,51.93,7.36
52,22.62,0.45,0.19,55.25,12.71,128.65,0.0,196.61,12.27,1204.29,1.24,1.53,5.17,7.36,27.09,38.57,52,29.34,0.29,51.71,29.5
53,24.25,0.45,0.2,55.25,14.6,128.65,0.0,198.5,12.39,1290.79,1.34,1.65,5.52,7.8,28.0,39.53,52,31.75,0.32,51.68,31.94
54,25.88,0.45,0.2,55.25,16.62,128.65,0.0,200.52,12.51,1377.29,1.44,1.78,5.91,8.28,28.94,40.52,52,34.22,0.34,51.66,34.44
55,27.5,0.45,0.21,55.25,18.78,128.65,0.0,202.67,12.64,1463.78,1.55,1.91,6.33,8.79,29.89,41.52,52,36.76,0.37,51.63,37.02
56,29.12,0.45,0.22,55.25,21.06,128.65,0.0,204.96,12.78,1550.28,1.66,2.02,6.77,9.33,30.84,42.52,52,38.85,0.39,51.61,39.14
57,30.75,0.45,0.23,55.25,23.48,128.65,0.0,207.37,12.93,1636.78,1.77,2.16,7.25,9.92,31.81,43.52,52,41.5,0.42,51.58,41.83
58,32.38,0.45,0.24,55.25,26.03,128.65,0.0,209.92,13.09,1723.27,1.89,2.3,7.76,10.53,32.78,44.52,52,44.23,0.44,51.56,44.61
59,34.0,0.38,0.25,55.25,28.7,109.56,0.0,193.51,12.05,1809.77,1.83,2.23,8.27,11.16,33.65,45.41,52,42.82,0.43,51.57,43.18
60,35.14,0.32,0.26,55.25,30.67,90.48,0.0,176.39,10.97,1870.6,1.72,2.1,8.76,11.76,34.31,46.05,52,40.34,0.4,51.6,40.66
61,36.29,0.32,0.27,55.25,32.69,90.48,0.0,178.42,11.1,1931.43,1.8,2.19,9.25,12.36,34.87,46.58,52,42.13,0.42,51.58,42.48
62,37.43,0.32,0.28,55.25,34.78,90.48,0.0,180.51,11.23,1992.27,1.88,2.29,9.76,12.98,35.43,47.1,52,43.97,0.44,51.56,44.35
63,38.57,0.32,0.29,55.25,36.94,90.48,0.0,182.67,11.36,2053.1,1.96,2.36,10.3,13.63,35.98,47.62,52,45.31,0.45,51.55,45.71
64,39.71,0.32,0.3,55.25,39.16,90.48,0.0,184.89,11.5,2113.93,2.04,2.46,10.85,14.29,36.54,48.12,52,47.22,0.47,51.53,47.65
65,40.86,0.32,0.31,55.25,41.45,90.48,0.0,187.18,11.64,2174.76,2.12,2.56,11.43,14.99,37.09,48.64,52,49.18,0.49,51.51,49.65
66,42.0,-0.07,0.32,55.25,43.8,-20.73,0.0,78.32,4.79,2235.6,0.91,1.15,11.85,15.51,37.07,48.5,52,22.14,0.22,51.78,22.23
67,40.33,-0.46,0.33,55.25,40.39,-131.94,0.0,-36.3,-2.41,2146.88,-0.41,,11.92,15.51,36.0,46.82,52,,,,
68,38.67,-0.46,0.34,55.25,37.12,-131.94,0.0,-39.57,-2.61,2058.17,-0.43,,11.81,15.51,34.51,45.32,52,,,,
69,37.0,-0.23,0.35,55.25,33.99,-65.97,0.0,23.27,1.34,1969.45,0.24,0.3,11.78,15.51,33.41,43.97,52,5.83,0.06,51.94,5.84
70,37.0,0.0,0.36,55.25,33.99,0.0,0.0,89.24,5.49,1969.45,0.92,1.16,11.94,15.71,32.91,43.29,52,22.37,0.22,51.78,22.47
71,37.0,0.0,0.37,55.25,33.99,0.0,0.0,89.24,5.49,1969.45,0.92,1.16,12.2,16.03,32.68,42.96,52,22.37,0.22,51.78,22.47
72,37.0,0.0,0.38,55.25,33.99,0.0,0.0,89.24,5.49,1969.45,0.92,1.16,12.45,16.36,32.47,42.65,52,22.37,0.22,51.78,22.47
73,37.0,0.0,0.39,55.25,33.99,0.0,0.0,89.24,5.49,1969.45,0.92,1.16,12.71,16.68,32.27,42.36,52,22.37,0.22,51.78,22.47
74,37.0,0.0,0.4,55.25,33.99,0.0,0.0,89.24,5.49,1969.45,0.92,1.16,12.96,17.0,32.08,42.08,52,22.37,0.22,51.78,22.47
75,37.0,0.0,0.41,55.25,33.99,0.0,0.0,89.24,5.49,1969.45,0.92,1.16,13.22,17.32,31.9,41.82,52,22.37,0.22,51.78,22.47
76,37.0,-0.21,0.42,55.25,33.99,-59.37,0.0,29.87,1.76,1969.45,0.31,0.39,13.39,17.54,31.53,41.31,52,7.49,0.07,51.93,7.5
77,35.5,-0.42,0.43,55.25,31.29,-118.75,0.0,-32.21,-2.14,1889.61,-0.32,,13.38,17.54,30.79,40.36,52,,,,
78,34.0,-0.05,0.44,55.25,28.7,-14.14,0.0,69.82,4.28,1809.77,0.66,0.84,13.43,17.54,30.23,39.48,52,16.08,0.16,51.84,16.13
79,35.14,0.32,0.45,55.25,30.67,90.48,0.0,176.39,10.97,1870.6,1.72,2.1,13.76,17.95,30.32,39.54,52,40.34,0.4,51.6,40.66
