time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,mtr_trq_Nm,mtr_rpm,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,delta_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
0,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
1,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
2,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
3,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
4,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
5,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
6,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
7,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
8,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
9,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
10,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
11,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
12,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
13,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
14,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
15,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
16,0.0,0.32,0.0,55.25,0.0,92.36,0.0,147.61,9.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
17,2.33,0.65,0.0,55.25,0.14,184.72,0.0,240.11,15.02,124.2,0.16,0.42,0.02,0.06,66.7,178.04,52,7.99,0.08,51.92,8.0
18,4.67,0.65,0.0,55.25,0.54,184.72,0.0,240.51,15.05,248.4,0.31,0.5,0.09,0.19,66.75,142.99,52,9.69,0.1,51.9,9.71
19,7.0,0.65,0.0,55.25,1.22,184.72,0.0,241.19,15.09,372.6,0.47,0.76,0.19,0.36,66.85,123.62,52,14.57,0.15,51.85,14.61
20,9.33,0.65,0.01,55.25,2.16,184.72,0.0,242.14,15.15,496.8,0.63,1.01,0.35,0.61,66.98,117.0,52,19.5,0.2,51.8,19.58
21,11.67,0.65,0.01,55.25,3.38,184.72,0.0,243.35,15.22,621.0,0.79,1.12,0.54,0.9,67.15,111.52,52,21.6,0.22,51.78,21.69
22,14.0,0.6,0.01,55.25,4.87,171.53,0.0,231.64,14.48,745.2,0.9,1.28,0.78,1.24,66.74,106.1,52,24.68,0.25,51.75,24.79
23,16.0,0.56,0.02,55.25,6.36,158.33,0.0,219.94,13.74,851.66,0.98,1.39,1.04,1.61,65.66,101.64,52,26.78,0.27,51.73,26.91
24,18.0,0.56,0.02,55.25,8.04,158.33,0.0,221.63,13.85,958.11,1.11,1.51,1.33,2.01,64.66,97.89,52,29.01,0.29,51.71,29.17
25,20.0,0.56,0.03,55.25,9.93,158.33,0.0,223.52,13.96,1064.57,1.24,1.69,1.66,2.46,64.09,95.09,52,32.5,0.33,51.67,32.71
26,22.0,-0.03,0.03,55.25,12.02,-9.9,0.0,57.37,3.52,1171.03,0.35,0.55,1.88,2.77,59.27,87.4,52,10.6,0.11,51.89,10.62
27,19.75,-0.62,0.04,55.25,9.69,-178.12,0.0,-113.19,-7.2,1051.26,-0.62,,1.84,2.77,49.09,73.88,52,,,,
28,17.5,-0.62,0.04,55.25,7.6,-178.12,0.0,-115.27,-7.33,931.5,-0.56,,1.68,2.77,39.29,64.91,52,,,,
29,15.25,-0.62,0.05,55.25,5.77,-178.12,0.0,-117.1,-7.44,811.73,-0.5,,1.53,2.77,32.39,58.66,52,,,,
30,13.0,-0.31,0.05,55.25,4.2,-89.06,0.0,-29.62,-1.94,691.97,-0.11,,1.44,2.77,28.27,54.15,52,,,,
31,13.0,0.0,0.05,55.25,4.2,0.0,0.0,59.45,3.66,691.97,0.21,0.34,1.46,2.77,26.67,50.58,52,6.5,0.07,51.93,6.51
32,13.0,0.28,0.06,55.25,4.2,79.17,0.0,138.61,8.63,691.97,0.5,0.72,1.56,2.91,26.73,49.97,52,13.86,0.14,51.86,13.89
33,15.0,0.56,0.06,55.25,5.59,158.33,0.0,219.17,13.7,798.43,0.91,1.3,1.76,3.2,28.21,51.36,52,25.01,0.25,51.75,25.14
34,17.0,0.56,0.07,55.25,7.18,158.33,0.0,220.76,13.79,904.88,1.04,1.48,2.03,3.58,30.4,53.74,52,28.56,0.29,51.71,28.71
35,19.0,0.56,0.07,55.25,8.96,158.33,0.0,222.55,13.9,1011.34,1.17,1.6,2.33,4.01,32.58,55.96,52,30.75,0.31,51.69,30.93
36,21.0,0.56,0.08,55.25,10.95,158.33,0.0,224.53,14.03,1117.8,1.31,1.78,2.68,4.48,34.7,58.02,52,34.28,0.34,51.66,34.51
37,23.0,0.5,0.08,55.25,13.14,142.5,0.0,210.89,13.17,1224.26,1.35,1.83,3.05,4.98,36.59,59.79,52,35.27,0.35,51.65,35.51
38,24.6,0.44,0.09,55.25,15.03,126.67,0.0,196.94,12.29,1309.42,1.35,1.83,3.42,5.49,38.06,61.06,52,35.23,0.35,51.65,35.47
39,26.2,0.44,0.1,55.25,17.04,126.67,0.0,198.96,12.41,1394.59,1.45,1.97,3.81,6.02,39.29,62.06,52,37.9,0.38,51.62,38.18
40,27.8,0.44,0.1,55.25,19.19,126.67,0.0,201.11,12.54,1479.75,1.55,2.11,4.23,6.59,40.46,63.04,52,40.65,0.41,51.59,40.97
41,29.4,0.44,0.11,55.25,21.46,126.67,0.0,203.38,12.68,1564.92,1.66,2.22,4.67,7.19,41.57,63.93,52,42.64,0.43,51.57,42.99
42,31.0,-0.06,0.12,55.25,23.86,-15.83,0.0,63.28,3.87,1650.08,0.54,0.86,4.98,7.62,41.22,63.03,52,16.59,0.17,51.83,16.64
43,29.0,-0.56,0.13,55.25,20.88,-158.33,0.0,-82.2,-5.27,1543.63,-0.66,,4.96,7.62,38.43,58.97,52,,,,
44,27.0,-0.56,0.14,55.25,18.1,-158.33,0.0,-84.98,-5.44,1437.17,-0.64,,4.78,7.62,34.93,55.62,52,,,,
45,25.0,-0.28,0.14,55.25,15.52,-79.17,0.0,-8.4,-0.62,1330.71,-0.06,,4.69,7.62,32.51,52.83,52,,,,
46,25.0,0.0,0.15,55.25,15.52,0.0,0.0,70.77,4.35,1330.71,0.49,0.77,4.75,7.62,31.42,50.4,52,14.85,0.15,51.85,14.9
47,25.0,0.0,0.16,55.25,15.52,0.0,0.0,70.77,4.35,1330.71,0.49,0.77,4.88,7.83,30.9,49.55,52,14.85,0.15,51.85,14.9
48,25.0,0.0,0.16,55.25,15.52,0.0,0.0,70.77,4.35,1330.71,0.49,0.77,5.02,8.05,30.43,48.76,52,14.85,0.15,51.85,14.9
49,25.0,-0.28,0.17,55.25,15.52,-79.17,0.0,-8.4,-0.62,1330.71,-0.06,,5.08,8.05,29.55,46.79,52,,,,
50,23.0,-0.56,0.18,55.25,13.14,-158.33,0.0,-89.95,-5.75,1224.26,-0.57,,4.99,8.05,27.95,45.05,52,,,,
51,21.0,-0.05,0.18,55.25,10.95,-14.84,0.0,51.36,3.14,1117.8,0.3,0.47,4.95,8.05,26.82,43.56,52,9.05,0.09,51.91,9.07
52,22.62,0.45,0.19,55.25,12.71,128.65,0.0,196.61,12.27,1204.29,1.24,1.68,5.17,8.34,27.09,43.74,52,32.34,0.32,51.68,32.55
53,24.25,0.45,0.2,55.25,14.6,128.65,0.0,198.5,12.39,1290.79,1.34,1.82,5.52,8.83,28.0,44.76,52,35.0,0.35,51.65,35.24
54,25.88,0.45,0.2,55.25,16.62,128.65,0.0,200.52,12.51,1377.29,1.44,1.96,5.91,9.36,28.94,45.81,52,37.73,0.38,51.62,38.0
55,27.5,0.45,0.21,55.25,18.78,128.65,0.0,202.67,12.64,1463.78,1.55,2.11,6.33,9.92,29.89,46.87,52,40.53,0.41,51.59,40.84
56,29.12,0.45,0.22,55.25,21.06,128.65,0.0,204.96,12.78,1550.28,1.66,2.21,6.77,10.52,30.84,47.93,52,42.57,0.43,51.57,42.92
57,30.75,0.45,0.23,55.25,23.48,128.65,0.0,207.37,12.93,1636.78,1.77,2.36,7.25,11.16,31.81,48.97,52,45.47,0.45,51.55,45.87
58,32.38,0.45,0.24,55.25,26.03,128.65,0.0,209.92,13.09,1723.27,1.89,2.52,7.76,11.84,32.78,50.02,52,48.46,0.48,51.52,48.92
59,34.0,0.38,0.25,55.25,28.7,109.56,0.0,193.51,12.05,1809.77,1.83,2.44,8.27,12.52,33.65,50.95,52,46.92,0.47,51.53,47.35
60,35.14,0.32,0.26,55.25,30.67,90.48,0.0,176.39,10.97,1870.6,1.72,2.3,8.76,13.18,34.31,51.61,52,44.2,0.44,51.56,44.58
61,36.29,0.32,0.27,55.25,32.69,90.48,0.0,178.42,11.1,1931.43,1.8,2.4,9.25,13.84,34.87,52.14,52,46.17,0.46,51.54,46.58
62,37.43,0.32,0.28,55.25,34.78,90.48,0.0,180.51,11.23,1992.27,1.88,2.51,9.76,14.52,35.43,52.68,52,48.18,0.48,51.52,48.63
63,38.57,0.32,0.29,55.25,36.94,90.48,0.0,182.67,11.36,2053.1,1.96,2.61,10.3,15.23,35.98,53.22,52,50.24,0.5,51.5,50.73
64,39.71,0.32,0.3,55.25,39.16,90.48,0.0,184.89,11.5,2113.93,2.04,2.72,10.85,15.97,36.54,53.76,52,52.36,0.52,51.48,52.89
65,40.86,0.32,0.31,55.25,41.45,90.48,0.0,187.18,11.64,2174.76,2.12,2.81,11.43,16.74,37.09,54.3,52,54.06,0.54,51.46,54.62
66,42.0,-0.07,0.32,55.25,43.8,-20.73,0.0,78.32,4.79,2235.6,0.91,1.46,11.85,17.33,37.07,54.21,52,28.1,0.28,51.72,28.25
67,40.33,-0.46,0.33,55.25,40.39,-131.94,0.0,-36.3,-2.41,2146.88,-0.41,,11.92,17.33,36.0,52.33,52,,,,
68,38.67,-0.46,0.34,55.25,37.12,-131.94,0.0,-39.57,-2.61,2058.17,-0.43,,11.81,17.33,34.51,50.66,52,,,,
69,37.0,-0.23,0.35,55.25,33.99,-65.97,0.0,23.27,1.34,1969.45,0.24,0.64,11.78,17.33,33.41,49.15,52,12.26,0.12,51.88,12.29
70,37.0,0.0,0.36,55.25,33.99,0.0,0.0,89.24,5.49,1969.45,0.92,1.45,11.94,17.62,32.91,48.55,52,27.92,0.28,51.72,28.07
71,37.0,0.0,0.37,55.25,33.99,0.0,0.0,89.24,5.49,1969.45,0.92,1.45,12.2,18.02,32.68,48.3,52,27.92,0.28,51.72,28.07
72,37.0,0.0,0.38,55.25,33.99,0.0,0.0,89.24,5.49,1969.45,0.92,1.45,12.45,18.43,32.47,48.05,52,27.92,0.28,51.72,28.07
73,37.0,0.0,0.39,55.25,33.99,0.0,0.0,89.24,5.49,1969.45,0.92,1.45,12.71,18.83,32.27,47.82,52,27.92,0.28,51.72,28.07
74,37.0,0.0,0.4,55.25,33.99,0.0,0.0,89.24,5.49,1969.45,0.92,1.45,12.96,19.23,32.08,47.61,52,27.92,0.28,51.72,28.07
75,37.0,0.0,0.41,55.25,33.99,0.0,0.0,89.24,5.49,1969.45,0.92,1.45,13.22,19.64,31.9,47.4,52,27.92,0.28,51.72,28.07
76,37.0,-0.21,0.42,55.25,33.99,-59.37,0.0,29.87,1.76,1969.45,0.31,0.82,13.39,19.95,31.53,46.99,52,15.74,0.16,51.84,15.78
77,35.5,-0.42,0.43,55.25,31.29,-118.75,0.0,-32.21,-2.14,1889.61,-0.32,,13.38,19.95,30.79,45.91,52,,,,
78,34.0,-0.05,0.44,55.25,28.7,-14.14,0.0,69.82,4.28,1809.77,0.66,1.04,13.43,19.95,30.23,44.91,52,20.07,0.2,51.8,20.15
79,35.14,0.32,0.45,55.25,30.67,90.48,0.0,176.39,10.97,1870.6,1.72,2.3,13.76,20.42,30.32,44.98,52,44.2,0.44,51.56,44.58
