time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,mtr_trq_Nm,mtr_rpm,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,delta_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
0,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
1,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
2,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
3,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
4,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
5,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
6,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
7,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
8,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
9,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
10,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
11,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
12,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
13,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
14,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
15,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
16,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
17,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
18,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
19,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
20,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
21,0.0,0.14,0.0,55.25,0.0,39.58,0.0,94.83,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
22,1.0,0.36,0.0,55.25,0.02,102.92,0.0,158.19,9.87,53.23,0.04,0.1,0.01,0.01,43.94,100.36,52,1.93,0.02,51.98,1.93
23,2.6,0.53,0.0,55.25,0.17,150.42,0.0,205.83,12.87,138.39,0.15,0.4,0.03,0.08,51.42,129.9,52,7.63,0.08,51.92,7.64
24,4.8,0.64,0.0,55.25,0.57,182.08,0.0,237.91,14.88,255.5,0.32,0.51,0.1,0.21,58.53,125.57,52,9.86,0.1,51.9,9.87
25,7.2,0.67,0.0,55.25,1.29,190.0,0.0,246.54,15.42,383.25,0.49,0.8,0.21,0.39,63.03,117.33,52,15.32,0.15,51.85,15.37
26,9.6,0.67,0.01,55.25,2.29,190.0,0.0,247.54,15.48,510.99,0.66,1.07,0.37,0.65,65.34,114.68,52,20.51,0.21,51.79,20.59
27,12.0,0.65,0.01,55.25,3.58,186.04,0.0,244.87,15.32,638.74,0.82,1.16,0.58,0.96,66.38,110.71,52,22.36,0.22,51.78,22.45
28,14.3,0.64,0.01,55.25,5.08,182.08,0.0,242.41,15.16,761.17,0.96,1.37,0.82,1.31,66.76,106.45,52,26.38,0.26,51.74,26.51
29,16.6,0.64,0.02,55.25,6.84,182.08,0.0,244.18,15.27,883.59,1.13,1.6,1.11,1.72,66.97,103.83,52,30.84,0.31,51.69,31.03
30,18.9,0.64,0.02,55.25,8.87,182.08,0.0,246.2,15.39,1006.02,1.29,1.76,1.45,2.19,67.24,101.75,52,33.83,0.34,51.66,34.06
31,21.2,0.64,0.03,55.25,11.16,182.08,0.0,248.49,15.53,1128.44,1.46,1.99,1.83,2.71,67.54,100.06,52,38.3,0.38,51.62,38.59
32,23.5,0.61,0.03,55.25,13.71,174.17,0.0,243.13,15.19,1250.87,1.59,2.16,2.25,3.29,67.67,98.73,52,41.54,0.42,51.58,41.88
33,25.6,0.5,0.04,55.25,16.27,142.5,0.0,214.02,13.36,1362.65,1.52,2.07,2.69,3.88,66.93,96.6,52,39.84,0.4,51.6,40.15
34,27.1,0.33,0.05,55.25,18.24,95.0,0.0,168.49,10.49,1442.49,1.27,1.73,3.07,4.4,64.78,92.81,52,33.2,0.33,51.67,33.41
35,28.0,0.22,0.06,55.25,19.47,63.33,0.0,138.05,8.58,1490.4,1.07,1.49,3.4,4.85,61.68,88.04,52,28.73,0.29,51.71,28.89
36,28.7,0.17,0.06,55.25,20.45,47.5,0.0,123.2,7.64,1527.66,0.98,1.37,3.69,5.25,58.51,83.34,52,26.28,0.26,51.74,26.41
37,29.2,0.15,0.07,55.25,21.17,43.54,0.0,119.96,7.44,1554.27,0.97,1.35,3.96,5.63,55.7,79.22,52,26.04,0.26,51.74,26.17
38,29.8,0.15,0.08,55.25,22.05,43.54,0.0,120.84,7.49,1586.21,1.0,1.39,4.23,6.01,53.4,75.84,52,26.77,0.27,51.73,26.9
39,30.3,-0.03,0.09,55.25,22.8,-7.92,0.0,70.13,4.3,1612.82,0.59,0.93,4.45,6.33,50.83,72.3,52,17.97,0.18,51.82,18.03
40,29.6,-0.22,0.1,55.25,21.76,-63.33,0.0,13.67,0.76,1575.56,0.11,0.3,4.55,6.5,47.44,67.82,52,5.76,0.06,51.94,5.77
41,28.7,-0.24,0.1,55.25,20.45,-67.29,0.0,8.41,0.43,1527.66,0.07,0.18,4.57,6.57,43.99,63.18,52,3.44,0.03,51.97,3.44
42,27.9,-0.17,0.11,55.25,19.33,-47.5,0.0,27.08,1.6,1485.07,0.21,0.54,4.61,6.67,41.24,59.63,52,10.36,0.1,51.9,10.38
43,27.5,-0.08,0.12,55.25,18.78,-23.75,0.0,50.28,3.06,1463.78,0.38,0.6,4.7,6.83,39.28,57.12,52,11.61,0.12,51.88,11.63
44,27.3,-0.03,0.13,55.25,18.51,-7.92,0.0,65.84,4.04,1453.14,0.5,0.78,4.82,7.02,37.89,55.21,52,15.09,0.15,51.85,15.13
45,27.3,0.01,0.13,55.25,18.51,3.96,0.0,77.71,4.79,1453.14,0.59,0.93,4.97,7.26,36.88,53.87,52,17.81,0.18,51.82,17.87
46,27.4,0.03,0.14,55.25,18.64,7.92,0.0,81.81,5.04,1458.46,0.62,0.98,5.14,7.52,36.09,52.85,52,18.82,0.19,51.81,18.89
47,27.5,0.03,0.15,55.25,18.78,7.92,0.0,81.94,5.05,1463.78,0.63,0.98,5.31,7.8,35.41,51.98,52,18.92,0.19,51.81,18.99
48,27.6,0.01,0.16,55.25,18.91,3.96,0.0,78.12,4.81,1469.11,0.6,0.94,5.48,8.06,34.77,51.16,52,18.1,0.18,51.82,18.17
49,27.6,0.01,0.17,55.25,18.91,3.96,0.0,78.12,4.81,1469.11,0.6,0.94,5.65,8.32,34.17,50.36,52,18.1,0.18,51.82,18.17
50,27.7,0.03,0.17,55.25,19.05,7.92,0.0,82.22,5.07,1474.43,0.63,0.99,5.82,8.59,33.64,49.68,52,19.12,0.19,51.81,19.19
51,27.8,0.06,0.18,55.25,19.19,15.83,0.0,90.27,5.58,1479.75,0.7,1.1,6.0,8.88,33.23,49.17,52,21.07,0.21,51.79,21.16
52,28.1,0.11,0.19,55.25,19.61,31.67,0.0,106.52,6.6,1495.72,0.83,1.16,6.22,9.2,32.98,48.8,52,22.25,0.22,51.78,22.34
53,28.6,0.11,0.2,55.25,20.31,31.67,0.0,107.23,6.64,1522.33,0.85,1.19,6.45,9.52,32.85,48.5,52,22.79,0.23,51.77,22.89
54,28.9,0.08,0.2,55.25,20.74,23.75,0.0,99.74,6.17,1538.3,0.8,1.11,6.68,9.84,32.69,48.17,52,21.42,0.21,51.79,21.51
55,29.2,0.07,0.21,55.25,21.17,19.79,0.0,96.21,5.95,1554.27,0.78,1.09,6.9,10.15,32.48,47.78,52,20.88,0.21,51.79,20.97
56,29.4,0.07,0.22,55.25,21.46,19.79,0.0,96.5,5.96,1564.92,0.79,1.1,7.12,10.45,32.27,47.39,52,21.09,0.21,51.79,21.17
57,29.7,0.1,0.23,55.25,21.9,27.71,0.0,104.86,6.49,1580.89,0.87,1.2,7.35,10.77,32.12,47.09,52,23.15,0.23,51.77,23.25
58,30.1,0.11,0.24,55.25,22.5,31.67,0.0,109.41,6.77,1602.18,0.91,1.27,7.59,11.11,32.04,46.89,52,24.48,0.24,51.76,24.59
59,30.5,0.08,0.25,55.25,23.1,23.75,0.0,102.1,6.31,1623.47,0.86,1.2,7.84,11.46,31.94,46.68,52,23.14,0.23,51.77,23.25
60,30.7,-0.11,0.25,55.25,23.4,-31.67,0.0,46.99,2.85,1634.11,0.4,0.63,8.02,11.71,31.57,46.12,52,12.2,0.12,51.88,12.23
61,29.7,-0.53,0.26,55.25,21.9,-150.42,0.0,-73.26,-4.71,1580.89,-0.6,,7.99,11.71,30.45,44.65,52,,,,
62,26.9,-0.93,0.27,55.25,17.97,-265.21,0.0,-191.99,-12.17,1431.85,-1.43,,7.7,11.71,28.52,43.35,52,,,,
63,23.0,-1.14,0.28,55.25,13.14,-324.58,0.0,-256.2,-16.2,1224.26,-1.64,,7.28,11.71,26.26,42.26,52,,,,
64,18.7,-1.22,0.28,55.25,8.68,-348.33,0.0,-284.4,-17.97,995.37,-1.48,,6.85,11.71,24.2,41.4,52,,,,
65,14.2,-1.29,0.29,55.25,5.01,-368.12,0.0,-307.87,-19.44,755.84,-1.21,,6.47,11.71,22.51,40.74,52,,,,
66,9.4,-1.29,0.29,55.25,2.19,-368.12,0.0,-310.68,-19.61,500.35,-0.81,,6.19,11.71,21.29,40.28,52,,,,
67,4.9,-1.03,0.29,55.25,0.6,-292.92,0.0,-237.07,-14.98,260.82,-0.32,,6.03,11.71,20.61,40.01,52,,,,
68,2.0,-0.68,0.29,55.25,0.1,-193.96,0.0,-138.61,-8.79,106.46,-0.08,,5.98,11.71,20.35,39.88,52,,,,
69,0.0,-0.28,0.29,55.25,0.0,-79.17,0.0,-23.92,-1.58,0.0,-0.0,,5.97,11.71,20.3,39.84,52,,,,
70,0.0,0.0,0.29,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,5.97,11.71,20.3,39.84,52,0.0,0.0,52.0,0.0
71,0.0,0.0,0.29,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,5.97,11.71,20.3,39.84,52,0.0,0.0,52.0,0.0
72,0.0,0.0,0.29,55.25,0.0,0.0,0.0,55.25,3.4,0.0,0.0,0.0,5.97,11.71,20.3,39.84,52,0.0,0.0,52.0,0.0
73,0.0,0.24,0.29,55.25,0.0,67.29,0.0,122.54,7.63,0.0,0.0,0.0,5.97,11.71,20.3,39.84,52,0.0,0.0,52.0,0.0
74,1.7,0.81,0.29,55.25,0.07,229.58,0.0,284.91,17.84,90.49,0.13,0.43,5.98,11.77,20.34,40.01,52,8.24,0.08,51.92,8.25
75,5.8,1.4,0.3,55.25,0.84,399.79,0.0,455.88,28.58,308.73,0.73,1.55,6.11,12.05,20.68,40.8,52,29.86,0.3,51.7,30.04
76,11.8,1.74,0.3,55.25,3.46,494.79,0.0,553.5,34.72,628.1,1.81,3.06,6.46,12.69,21.7,42.62,52,58.77,0.59,51.41,59.44
77,18.3,1.76,0.3,55.25,8.32,502.71,0.0,566.27,35.52,974.08,2.88,4.25,7.11,13.7,23.56,45.39,52,81.77,0.82,51.18,83.08
78,24.5,1.54,0.31,55.25,14.9,439.37,0.0,509.53,31.94,1304.1,3.47,5.0,7.99,14.99,25.97,48.69,52,96.1,0.96,51.04,97.91
79,29.4,1.11,0.32,55.25,21.46,316.67,0.0,393.38,24.63,1564.92,3.21,4.28,8.92,16.28,28.29,51.62,52,82.37,0.82,51.18,83.7
