time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,mtr_trq_Nm,mtr_rpm,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,delta_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
0,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
1,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
2,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
3,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
4,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
5,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
6,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
7,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
8,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
9,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
10,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
11,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
12,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
13,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
14,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
15,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
16,0.0,0.32,0.0,55.25,0.0,92.36,0.0,147.61,10.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
17,2.33,0.65,0.0,55.25,0.14,184.72,0.0,240.11,16.37,113.9,0.16,0.5,0.02,0.07,66.7,212.46,52,9.53,0.1,51.9,9.55
18,4.67,0.65,0.0,55.25,0.54,184.72,0.0,240.51,16.4,227.8,0.31,0.99,0.09,0.28,66.75,212.64,52,19.1,0.19,51.81,19.17
19,7.0,0.65,0.0,55.25,1.22,184.72,0.0,241.19,16.44,341.7,0.47,0.81,0.19,0.53,66.85,180.29,52,15.55,0.16,51.84,15.59
20,9.33,0.65,0.01,55.25,2.16,184.72,0.0,242.14,16.5,455.6,0.63,1.08,0.35,0.79,66.98,152.05,52,20.81,0.21,51.79,20.89
21,11.67,0.65,0.01,55.25,3.38,184.72,0.0,243.35,16.59,569.5,0.79,1.15,0.54,1.1,67.15,135.53,52,22.06,0.22,51.78,22.16
22,14.0,0.6,0.01,55.25,4.87,171.53,0.0,231.64,15.78,683.4,0.9,1.31,0.78,1.44,66.74,123.38,52,25.2,0.25,51.75,25.32
23,16.0,0.56,0.02,55.25,6.36,158.33,0.0,219.94,14.98,781.03,0.98,1.39,1.04,1.81,65.66,114.62,52,26.78,0.27,51.73,26.91
24,18.0,0.56,0.02,55.25,8.04,158.33,0.0,221.63,15.09,878.65,1.11,1.58,1.33,2.23,64.66,108.36,52,30.35,0.3,51.7,30.53
25,20.0,0.56,0.03,55.25,9.93,158.33,0.0,223.52,15.22,976.28,1.24,1.69,1.66,2.68,64.09,103.79,52,32.5,0.33,51.67,32.71
26,22.0,-0.03,0.03,55.25,12.02,-9.9,0.0,57.37,3.83,1073.91,0.35,0.55,1.88,2.99,59.27,94.5,52,10.6,0.11,51.89,10.62
27,19.75,-0.62,0.04,55.25,9.69,-178.12,0.0,-113.19,-7.84,964.08,-0.62,,1.84,2.99,49.09,79.88,52,,,,
28,17.5,-0.62,0.04,55.25,7.6,-178.12,0.0,-115.27,-7.98,854.25,-0.56,,1.68,2.99,39.29,70.19,52,,,,
29,15.25,-0.62,0.05,55.25,5.77,-178.12,0.0,-117.1,-8.11,744.41,-0.5,,1.53,2.99,32.39,63.42,52,,,,
30,13.0,-0.31,0.05,55.25,4.2,-89.06,0.0,-29.62,-2.11,634.58,-0.11,,1.44,2.99,28.27,58.55,52,,,,
31,13.0,0.0,0.05,55.25,4.2,0.0,0.0,59.45,3.99,634.58,0.21,0.34,1.46,2.99,26.67,54.69,52,6.5,0.07,51.93,6.51
32,13.0,0.28,0.06,55.25,4.2,79.17,0.0,138.61,9.41,634.58,0.5,0.72,1.56,3.14,26.73,53.82,52,13.86,0.14,51.86,13.89
33,15.0,0.56,0.06,55.25,5.59,158.33,0.0,219.17,14.93,732.21,0.91,1.3,1.76,3.42,28.21,54.97,52,25.01,0.25,51.75,25.14
34,17.0,0.56,0.07,55.25,7.18,158.33,0.0,220.76,15.03,829.84,1.04,1.48,2.03,3.81,30.4,57.11,52,28.56,0.29,51.71,28.71
35,19.0,0.56,0.07,55.25,8.96,158.33,0.0,222.55,15.15,927.47,1.17,1.67,2.33,4.25,32.58,59.25,52,32.17,0.32,51.68,32.37
36,21.0,0.56,0.08,55.25,10.95,158.33,0.0,224.53,15.29,1025.1,1.31,1.78,2.68,4.73,34.7,61.2,52,34.28,0.34,51.66,34.51
37,23.0,0.5,0.08,55.25,13.14,142.5,0.0,210.89,14.35,1122.72,1.35,1.83,3.05,5.23,36.59,62.74,52,35.27,0.35,51.65,35.51
38,24.6,0.44,0.09,55.25,15.03,126.67,0.0,196.94,13.39,1200.83,1.35,1.83,3.42,5.74,38.06,63.79,52,35.23,0.35,51.65,35.47
39,26.2,0.44,0.1,55.25,17.04,126.67,0.0,198.96,13.53,1278.93,1.45,1.97,3.81,6.27,39.29,64.59,52,37.9,0.38,51.62,38.18
40,27.8,0.44,0.1,55.25,19.19,126.67,0.0,201.11,13.67,1357.03,1.55,2.11,4.23,6.83,40.46,65.39,52,40.65,0.41,51.59,40.97
41,29.4,0.44,0.11,55.25,21.46,126.67,0.0,203.38,13.82,1435.13,1.66,2.26,4.67,7.44,41.57,66.17,52,43.48,0.43,51.57,43.84
42,31.0,-0.06,0.12,55.25,23.86,-15.83,0.0,63.28,4.22,1513.24,0.54,0.86,4.98,7.87,41.22,65.17,52,16.59,0.17,51.83,16.64
43,29.0,-0.56,0.13,55.25,20.88,-158.33,0.0,-82.2,-5.74,1415.61,-0.66,,4.96,7.87,38.43,60.96,52,,,,
44,27.0,-0.56,0.14,55.25,18.1,-158.33,0.0,-84.98,-5.92,1317.98,-0.64,,4.78,7.87,34.93,57.5,52,,,,
45,25.0,-0.28,0.14,55.25,15.52,-79.17,0.0,-8.4,-0.67,1220.35,-0.06,,4.69,7.87,32.51,54.62,52,,,,
