time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,mtr_trq_Nm,mtr_rpm,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,delta_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
0,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
1,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
2,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
3,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
4,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
5,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
6,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
7,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
8,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
9,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
10,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
11,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
12,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
13,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
14,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
15,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
16,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
17,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
18,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
19,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
20,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
21,0.0,0.14,0.0,55.25,0.0,39.58,0.0,94.83,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
22,1.0,0.36,0.0,55.25,0.02,102.92,0.0,158.19,10.76,48.81,0.04,0.12,0.01,0.02,43.94,117.3,52,2.26,0.02,51.98,2.26
23,2.6,0.53,0.0,55.25,0.17,150.42,0.0,205.83,14.02,126.92,0.15,0.4,0.03,0.09,51.42,137.26,52,7.63,0.08,51.92,7.64
24,4.8,0.64,0.0,55.25,0.57,182.08,0.0,237.91,16.22,234.31,0.32,1.01,0.1,0.28,58.53,169.89,52,19.43,0.19,51.81,19.5
25,7.2,0.67,0.0,55.25,1.29,190.0,0.0,246.54,16.81,351.46,0.49,0.85,0.21,0.54,63.03,162.46,52,16.34,0.16,51.84,16.4
26,9.6,0.67,0.01,55.25,2.29,190.0,0.0,247.54,16.87,468.62,0.66,1.14,0.37,0.82,65.34,144.28,52,21.88,0.22,51.78,21.97
27,12.0,0.65,0.01,55.25,3.58,186.04,0.0,244.87,16.69,585.77,0.82,1.19,0.58,1.14,66.38,131.6,52,22.83,0.23,51.77,22.93
28,14.3,0.64,0.01,55.25,5.08,182.08,0.0,242.41,16.52,698.04,0.96,1.4,0.82,1.5,66.76,121.76,52,26.94,0.27,51.73,27.08
29,16.6,0.64,0.02,55.25,6.84,182.08,0.0,244.18,16.64,810.31,1.13,1.64,1.11,1.92,66.97,115.71,52,31.5,0.31,51.69,31.69
30,18.9,0.64,0.02,55.25,8.87,182.08,0.0,246.2,16.77,922.59,1.29,1.88,1.45,2.41,67.24,111.91,52,36.16,0.36,51.64,36.41
31,21.2,0.64,0.03,55.25,11.16,182.08,0.0,248.49,16.93,1034.86,1.46,1.99,1.83,2.95,67.54,108.77,52,38.35,0.38,51.62,38.64
32,23.5,0.61,0.03,55.25,13.71,174.17,0.0,243.13,16.56,1147.13,1.59,2.16,2.25,3.53,67.67,105.83,52,41.59,0.42,51.58,41.93
33,25.6,0.5,0.04,55.25,16.27,142.5,0.0,214.02,14.56,1249.64,1.52,2.07,2.69,4.11,66.93,102.5,52,39.84,0.4,51.6,40.15
34,27.1,0.33,0.05,55.25,18.24,95.0,0.0,168.49,11.44,1322.86,1.27,1.73,3.07,4.64,64.78,97.81,52,33.2,0.33,51.67,33.41
35,28.0,0.22,0.06,55.25,19.47,63.33,0.0,138.05,9.35,1366.79,1.07,1.51,3.4,5.09,61.68,92.37,52,28.97,0.29,51.71,29.13
36,28.7,0.17,0.06,55.25,20.45,47.5,0.0,123.2,8.33,1400.96,0.98,1.38,3.69,5.49,58.51,87.18,52,26.5,0.26,51.74,26.63
37,29.2,0.15,0.07,55.25,21.17,43.54,0.0,119.96,8.11,1425.37,0.97,1.37,3.96,5.87,55.7,82.68,52,26.25,0.26,51.74,26.38
38,29.8,0.15,0.08,55.25,22.05,43.54,0.0,120.84,8.17,1454.66,1.0,1.4,4.23,6.26,53.4,78.98,52,26.99,0.27,51.73,27.13
39,30.3,-0.03,0.09,55.25,22.8,-7.92,0.0,70.13,4.69,1479.07,0.59,0.93,4.45,6.58,50.83,75.15,52,17.84,0.18,51.82,17.9
40,29.6,-0.22,0.1,55.25,21.76,-63.33,0.0,13.67,0.83,1444.9,0.11,0.29,4.55,6.75,47.44,70.39,52,5.55,0.06,51.94,5.56
41,28.7,-0.24,0.1,55.25,20.45,-67.29,0.0,8.41,0.47,1400.96,0.07,0.17,4.57,6.81,43.99,65.52,52,3.31,0.03,51.97,3.31
42,27.9,-0.17,0.11,55.25,19.33,-47.5,0.0,27.08,1.75,1361.91,0.21,0.54,4.61,6.91,41.24,61.8,52,10.36,0.1,51.9,10.38
43,27.5,-0.08,0.12,55.25,18.78,-23.75,0.0,50.28,3.34,1342.39,0.38,0.6,4.7,7.07,39.28,59.15,52,11.61,0.12,51.88,11.63
44,27.3,-0.03,0.13,55.25,18.51,-7.92,0.0,65.84,4.41,1332.62,0.5,0.78,4.82,7.26,37.89,57.13,52,15.09,0.15,51.85,15.13
