time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,delta_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
0,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
1,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
2,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
4,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
5,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
6,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
7,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
8,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
9,0.0,0.45,0.0,51.3,0.0,118.47,0.0,169.77,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
10,3.22,4.25,0.0,51.3,0.23,1125.42,0.0,1176.95,1.05,1.32,0.15,0.18,326.93,408.66,345.6,3.81,0.79,344.81,3.81
11,30.58,7.6,0.01,51.3,21.04,2013.91,0.0,2086.25,17.72,22.15,2.75,3.44,535.59,669.48,345.6,64.09,13.33,332.27,66.66
12,57.94,8.05,0.02,51.3,75.52,2132.38,0.0,2259.2,36.36,45.45,10.26,12.83,588.73,735.92,345.6,131.5,27.35,318.25,142.81
13,88.51,7.38,0.04,51.3,176.28,1954.68,0.0,2182.26,53.66,67.07,22.77,28.46,602.68,753.35,345.6,194.07,40.37,305.23,219.73
