time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,delta_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
0,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
1,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
2,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
4,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
5,0.0,0.22,0.0,51.3,0.0,59.23,0.0,110.53,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
6,1.61,0.89,0.0,51.3,0.06,236.93,0.0,288.29,0.13,0.16,0.02,0.02,80.08,100.1,345.6,0.47,0.1,345.5,0.47
7,6.44,1.56,0.0,51.3,0.93,414.63,0.0,466.86,0.83,1.04,0.15,0.19,113.15,141.44,345.6,3.02,0.63,344.97,3.02
8,12.87,1.79,0.0,51.3,3.73,473.86,0.0,528.89,1.89,2.36,0.53,0.66,131.83,164.79,345.6,6.84,1.42,344.18,6.87
9,19.31,1.79,0.01,51.3,8.39,473.86,0.0,533.55,2.86,3.58,1.19,1.49,140.18,175.22,345.6,10.35,2.15,343.45,10.42
10,25.75,0.67,0.01,51.3,14.92,177.7,0.0,243.92,1.74,2.18,1.83,2.29,124.08,155.1,345.6,6.31,1.31,344.29,6.33
11,24.14,-0.67,0.02,51.3,13.11,-177.7,0.0,-113.29,-0.76,-0.95,1.97,2.46,90.74,113.42,345.6,-2.75,-0.57,346.17,-2.74
12,20.92,-0.89,0.03,51.3,9.85,-236.93,0.0,-175.78,-1.02,-1.28,1.72,2.15,61.56,76.95,345.6,-3.69,-0.77,346.37,-3.69
13,17.7,-0.89,0.03,51.3,7.05,-236.93,0.0,-178.58,-0.88,-1.1,1.46,1.82,43.72,54.65,345.6,-3.18,-0.66,346.26,-3.17
