time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,pack_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
0,0.0,0.0,0.0,51.3,0.0,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,345.6,0.0,0.0,345.6,0.0
1,2.0,0.0,0.0,51.3,0.09,0.0,0.0,51.39,0.03,0.04,0.0,0.0,14.28,17.84,345.6,0.1,0.02,345.58,0.1
2,0.0,-0.14,0.0,51.3,0.0,-36.81,0.0,14.49,0.0,0.0,0.01,0.01,14.28,17.84,345.6,0.0,0.0,345.6,0.0
3,1.0,0.14,0.0,51.3,0.02,36.81,0.0,88.13,0.02,0.03,0.01,0.01,16.32,20.4,345.6,0.09,0.02,345.58,0.09
4,1.0,0.0,0.0,51.3,0.02,0.0,0.0,51.32,0.01,0.02,0.02,0.02,17.19,21.49,345.6,0.05,0.01,345.59,0.05
5,1.0,0.0,0.0,51.3,0.02,0.0,0.0,51.32,0.01,0.02,0.02,0.03,16.54,20.67,345.6,0.05,0.01,345.59,0.05
6,1.0,0.0,0.0,51.3,0.02,0.0,0.0,51.32,0.01,0.02,0.02,0.03,16.12,20.15,345.6,0.05,0.01,345.59,0.05
7,1.0,0.0,0.0,51.3,0.02,0.0,0.0,51.32,0.01,0.02,0.03,0.04,15.83,19.79,345.6,0.05,0.01,345.59,0.05
8,1.0,0.0,0.0,51.3,0.02,0.0,0.0,51.32,0.01,0.02,0.03,0.04,15.62,19.53,345.6,0.05,0.01,345.59,0.05
9,1.0,0.0,0.0,51.3,0.02,0.0,0.0,51.32,0.01,0.02,0.04,0.05,15.46,19.33,345.6,0.05,0.01,345.59,0.05
10,1.0,0.0,0.0,51.3,0.02,0.0,0.0,51.32,0.01,0.02,0.04,0.05,15.34,19.17,345.6,0.05,0.01,345.59,0.05
11,1.0,0.0,0.0,51.3,0.02,0.0,0.0,51.32,0.01,0.02,0.04,0.06,15.23,19.04,345.6,0.05,0.01,345.59,0.05
12,1.0,-0.14,0.0,51.3,0.02,-36.81,0.0,14.52,0.0,0.01,0.05,0.06,14.7,18.38,345.6,0.01,0.0,345.6,0.01
13,0.0,-0.14,0.0,51.3,0.0,-36.81,0.0,14.49,0.0,0.0,0.05,0.06,14.26,17.82,345.6,0.0,0.0,345.6,0.0
14,0.0,0.14,0.0,51.3,0.0,36.81,0.0,88.11,0.0,0.0,0.05,0.06,14.26,17.82,345.6,0.0,0.0,345.6,0.0
15,1.0,0.0,0.0,51.3,0.02,0.0,0.0,51.32,0.01,0.02,0.05,0.06,14.26,17.82,345.6,0.05,0.01,345.59,0.05
16,0.0,-0.14,0.0,51.3,0.0,-36.81,0.0,14.49,0.0,0.0,0.05,0.06,14.26,17.82,345.6,0.0,0.0,345.6,0.0
17,0.0,0.42,0.0,51.3,0.0,110.42,0.0,161.72,0.0,0.0,0.05,0.06,14.26,17.82,345.6,0.0,0.0,345.6,0.0
