Millis,Speed
0.0,0
0.455,0
0.91,0
1.366,0
1.822,0
2.277,0
2.734,0
3.191,0
3.647,0
4.102,0
4.554,0
5.004,0
5.454,0
5.904,0
6.355,0
6.805,0
7.255,0
7.712,0
8.167,0
8.623,0
9.079,0
9.53,0
9.98,0
10.43,0
10.883,0
11.333,0
11.783,0
12.233,0
12.684,0
13.136,0
13.586,0
14.038,0
14.488,0
14.938,0
15.39,0
15.84,0
16.29,0
16.745,0
17.201,0
17.657,0
18.108,0
18.558,0
19.008,0
19.458,0
19.909,0
20.361,0
20.811,0
21.261,0
21.717,0
22.172,0
22.627,0
23.083,0
23.539,0
23.994,0
24.45,0
24.905,0
25.366,0
25.823,0
26.278,0
26.734,0
27.189,0
27.645,0
28.101,0
28.556,0
29.011,0
29.471,0
29.927,0
30.388,0
30.838,0
31.288,0
31.738,0
32.189,0
32.64,0
33.09,0
33.54,0
33.993,0
34.448,0
34.903,0
35.359,0
35.815,0
36.27,0
36.725,0
37.181,0
37.636,0
38.098,0
38.553,0
39.009,0
39.465,0
39.92,0
40.377,0
40.833,0
41.284,0
41.739,0
42.204,0
42.66,0
43.115,0
43.57,0
44.026,0
44.481,0
44.937,0
45.393,0
45.849,0
46.306,0
46.756,0
47.206,0
47.656,0
48.107,0
48.557,0
49.007,0
49.459,0
49.909,0
50.365,0
50.825,0
51.282,0
51.737,0
52.193,0
52.648,0
53.104,0
53.559,0
54.015,0
54.47,0
54.931,0
55.386,0
55.842,0
56.297,0
56.753,0
57.209,0
57.666,0
58.121,0
58.577,0
59.038,0
59.494,0
59.949,0
60.405,0
60.86,0
61.315,0
61.771,0
62.227,0
62.682,0
63.143,0
63.598,0
64.053,0
64.509,0
64.966,0
65.421,0
65.876,0
66.332,0
66.788,0
67.248,0
67.704,0
68.159,0
68.614,0
69.071,0
69.526,0
69.982,0
70.437,0
70.893,0
71.353,0
71.811,0
72.266,0
72.722,0
73.178,0
73.63,0
74.091,0
74.541,0
74.991,0
75.441,0
75.892,0
76.343,0
76.793,0
77.243,0
77.694,0
78.15,0
78.605,0
79.061,0
79.516,0
79.977,0
80.432,0
80.888,0
81.344,0
81.8,0
82.256,0
82.711,0
83.167,0
83.622,0
84.082,0
84.538,0
84.994,0
85.45,0
85.905,0
86.361,0
86.816,0
87.272,0
87.727,0
88.188,0
88.643,0
89.099,0
89.556,0
90.012,0
90.468,0
90.924,0
91.381,0
91.832,0
92.287,0
92.739,0
93.189,0
93.639,0
94.089,0
94.541,0
94.991,0
95.441,0
95.897,0
96.352,0
96.814,0
97.269,0
97.725,0
98.18,0
98.636,0
99.091,0
99.547,0
100.002,0
100.458,0
100.918,0
101.375,0
101.831,0
102.287,0
102.742,0
103.198,0
103.653,0
104.109,0
104.564,0
105.025,0
105.48,0
105.936,0
106.391,0
106.846,0
107.302,0
107.757,0
108.213,0
108.668,0
109.129,0
109.579,0
110.029,0
110.481,0
110.931,0
111.381,0
111.831,0
112.282,0
112.733,0
113.188,0
113.649,0
114.104,0
114.562,0
115.018,0
115.469,0
115.93,0
116.381,0
116.836,0
117.293,0
117.754,0
118.209,0
118.665,0
119.12,0
119.576,0
120.031,0
120.487,0
120.943,0
121.399,0
121.86,0
122.315,0
122.771,0
123.227,0
123.682,0
124.137,0
124.593,0
125.048,0
125.508,0
125.968,0
126.424,0
126.879,0
127.334,0
127.789,0
128.246,0
128.701,0
129.157,0
129.612,0
130.073,0
130.528,0
130.984,0
131.439,0
131.894,0
132.35,0
132.805,0
133.261,0
133.716,0
134.177,0
134.637,0
135.088,0
135.538,0
135.988,0
136.44,0
136.89,0
137.34,0
137.79,0
138.242,0
138.697,0
139.152,0
139.608,0
140.063,0
140.52,0
140.976,0
141.431,0
141.886,0
142.343,0
142.803,0
