time_s,speed_mph
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,2
11,19
12,36
13,55
14,69
15,81
16,93
17,97
18,88
19,75
20,63
21,55
22,50
23,63
24,74
25,86
26,94
27,82
28,64
29,50
30,40
31,33
32,34
33,40
34,51
35,66
36,79
37,88
38,101
39,110
40,105
41,87
42,73
43,63
44,54
45,55
46,55
47,48
48,57
49,59
50,54
51,65
52,73
53,69
54,69
55,78
56,87
57,96
58,93
59,91
60,94
61,93
62,91
63,87
64,92
65,92
66,80
67,70
68,74
69,84
70,94
71,95
72,101
73,107
74,101
75,97
76,94
77,93
78,92
79,93
80,101
81,109
82,104
83,105
84,110
85,110
86,93
87,79
88,70
89,68
90,76
91,87
92,97
93,105
94,113
95,119
96,112
97,96
98,83
99,73
100,66
101,61
102,61
103,62
104,65
105,60
106,65
107,78
108,91
109,100
110,109
111,109
112,105
113,102
114,110
115,120
116,127
117,119
118,98
119,81
120,67
121,59
122,55
123,63
124,79
125,94
126,105
127,114
128,122
129,129
130,134
131,131
132,110
133,87
134,68
135,58
136,57
137,68
138,80
139,93
140,101
141,83
142,65
143,48
144,36
145,30
146,36
147,49
148,69
149,75
150,86
151,98
152,110
153,112
154,91
155,76
156,65
157,56
158,55
159,55
160,50
161,54
162,62
163,57
164,64
165,73
166,69
167,68
168,79
169,89
170,98
171,98
172,95
173,95
174,95
175,86
176,89
177,96
178,89
179,78
180,66
181,72
182,86
183,97
184,98
185,102
186,107
187,104
188,100
189,95
190,92
191,92
192,94
193,102
194,109
195,107
196,107
197,113
198,105
199,91
200,79
201,70
202,69
203,79
204,88
205,102
206,110
207,117
208,120
209,111
210,96
211,82
212,71
213,67
214,61
215,62
216,63
217,64
218,60
219,66
220,80
221,92
222,102
223,110
224,107
225,106
226,105
227,114
228,123
229,125
230,114
231,94
232,77
233,65
234,57
235,55
236,65
237,80
238,94
239,105
240,114
241,121
242,128
243,132
244,123
245,106
246,86
247,72
248,61
249,59
250,69
251,81
252,93
253,97
254,80
255,63
256,48
257,38
258,31
259,36
260,46
261,57
262,72
263,84
264,98
265,109
266,115
267,97
268,81
269,67
270,56
271,53
272,55
273,50
274,51
275,62
276,59
277,61
278,72
279,72
280,71
281,78
282,89
283,97
284,99
285,92
286,92
287,94
288,90
289,87
290,94
291,93
292,78
293,68
294,71
295,83
296,95
297,97
298,100
299,105
300,109
301,101
302,93
303,94
304,94
305,92
306,99
307,108
308,107
309,103
310,107
311,111
312,97
313,82
314,72
315,70
316,77
317,85
318,96
319,104
320,113
321,118
322,120
323,104
324,88
325,76
326,68
327,62
328,60
329,62
330,66
331,63
332,65
333,78
334,89
335,97
336,108
337,108
338,104
339,102
340,110
341,119
342,126
343,123
344,102
345,83
346,67
347,58
348,53
349,62
350,76
351,91
352,101
353,112
354,118
355,125
356,131
357,126
358,109
359,92
360,75
361,59
362,58
363,68
364,79
365,89
366,99
367,90
368,71
369,53
370,42
371,34
372,35
373,44
374,52
375,68
376,82
377,93
378,105
379,115
380,106
381,85
382,70
383,60
384,63
385,53
386,52
387,49
388,60
389,61
390,60
391,72
392,71
393,71
394,74
395,81
396,95
397,96
398,92
399,90
400,97
401,95
402,89
403,93
404,96
405,83
406,72
407,72
408,83
409,94
410,94
411,93
412,101
413,105
414,99
415,95
416,92
417,95
418,94
419,96
420,103
421,106
422,103
423,105
424,112
425,102
426,87
427,74
428,69
429,74
430,85
431,95
432,104
433,112
434,117
435,120
436,106
437,89
438,76
439,67
440,66
441,63
442,61
443,61
444,60
445,60
446,72
447,84
448,94
449,104
450,111
451,104
452,100
453,102
454,112
455,120
456,124
457,113
458,92
459,75
460,62
461,57
462,59
463,67
464,82
465,95
466,106
467,114
468,121
469,128
470,132
471,118
472,99
473,83
474,69
475,61
476,56
477,64
478,78
479,91
480,99
481,83
482,65
483,48
484,30
485,30
486,36
487,46
488,57
489,72
490,83
491,92
492,103
493,111
494,105
495,86
496,63
497,66
498,50
499,51
500,51
501,51
502,61
503,59
504,59
505,70
506,70
507,71
508,76
509,87
510,95
511,69
512,94
513,93
514,93
515,92
516,89
517,92
518,93
519,81
520,70
521,73
522,83
523,94
524,97
525,99
526,106
527,107
528,97
529,92
530,93
