time_s,speed_mph
0,117
1,128
2,136
3,144
4,150
5,155
6,159
7,165
8,170
9,171
10,171
11,171
12,172
13,175
14,178
15,183
16,175
17,172
18,170
19,171
20,178
21,187
22,170
23,177
24,171
25,176
26,172
27,167
28,168
29,169
30,171
31,160
32,138
33,133
34,131
35,110
36,87
37,78
38,59
39,45
40,42
41,42
42,56
43,79
44,93
45,102
46,115
47,126
48,134
49,141
50,150
51,142
52,95
53,99
54,80
55,66
56,59
57,58
58,59
59,69
60,79
61,93
62,101
63,120
64,125
65,131
66,139
67,148
68,151
69,155
70,161
71,165
72,173
73,173
74,163
75,161
76,174
77,151
78,129
79,131
80,122
81,100
82,97
83,97
84,95
85,122
86,123
87,129
88,135
89,138
90,141
91,146
92,155
93,157
94,159
95,163
96,164
97,166
98,166
99,169
100,169
101,171
102,177
103,174
104,171
105,172
106,173
107,176
108,176
109,163
110,157
111,156
112,160
113,159
114,159
115,159
116,158
117,166
118,168
119,171
120,171
121,173
122,174
123,175
124,175
125,178
126,174
127,170
128,183
129,181
130,168
131,172
132,172
133,172
134,174
135,178
136,171
137,172
138,173
139,172
140,173
141,171
142,170
143,168
144,170
145,173
146,176
147,180
148,178
149,181
150,179
151,184
152,180
153,157
154,139
155,144
156,148
157,123
158,114
159,113
160,148
161,117
162,121
163,128
164,125
165,130
166,130
167,142
168,132
169,136
170,131
171,130
172,140
173,136
174,150
175,157
176,153
177,151
178,155
179,141
180,115
181,104
182,104
183,111
184,120
185,125
186,135
187,141
188,148
189,153
190,157
191,166
192,169
193,161
194,159
195,164
196,164
197,160
198,156
199,160
200,164
201,168
202,168
203,172
204,173
205,149
206,124
207,104
208,79
209,72
210,68
211,82
212,95
213,103
214,115
215,121
216,118
217,120
218,121
219,126
220,145
221,153
222,151
223,152
224,153
225,158
226,160
227,131
228,115
229,111
230,121
231,129
232,137
233,133
234,143
235,144
236,120
237,108
238,106
239,98
240,93
241,94
242,90
243,107
244,90
245,77
246,75
247,80
248,89
249,104
250,111
251,121
252,133
253,135
254,149
255,128
256,114
257,115
258,111
259,111
260,114
261,125
262,134
263,140
264,135
265,141
266,147
267,149
268,143
269,122
270,109
271,107
272,113
273,110
274,110
275,81
276,79
277,76
278,86
279,97
280,105
281,114
282,94
283,80
284,74
285,82
286,88
287,98
288,117
289,119
290,130
291,126
292,123
293,136
294,137
295,137
296,148
297,150
298,149
299,158
300,157
301,161
302,165
303,170
304,166
305,170
306,170
307,171
308,172
309,172
310,173
311,172
312,173
313,174
314,169
315,163
316,163
317,166
318,165
319,174
320,171
321,145
322,135
323,131
324,119
325,131
326,127
327,135
328,137
329,137
330,141
331,151
332,155
333,157
334,160
335,146
336,123
337,117
338,111
339,129
340,132
341,144
342,152
343,149
344,154
345,156
346,157
347,169
348,167
349,162
350,164
351,166
352,166
353,168
354,168
355,159
356,143
357,133
358,140
359,135
360,138
361,144
362,152
363,157
364,160
365,151
366,130
367,140
368,151
369,151
370,155
371,159
372,163
373,167
374,164
375,166
376,138
377,125
378,121
379,125
380,119
381,132
382,131
383,128
384,124
385,125
386,128
387,136
388,134
389,138
390,146
391,152
392,155
393,161
394,168
395,165
396,143
397,121
398,110
399,182
400,106
401,114
402,118
403,137
404,130
405,145
406,151
407,159
408,157
409,156
410,161
411,162
412,165
413,170
414,168
415,153
416,149
417,157
418,156
419,156
420,156
421,154
422,141
423,132
424,127
425,126
426,122
427,133
428,128
429,123
430,129
431,138
432,154
433,158
434,163
435,162
436,160
437,162
438,167
439,171
440,175
441,163
442,169
443,171
444,171
445,171
446,164
447,168
448,167
449,167
450,173
451,167
452,169
453,165
454,153
455,152
456,157
457,154
458,152
459,159
460,161
461,165
462,168
463,172
464,171
465,174
466,181
467,169
468,145
469,114
470,100
471,81
472,68
473,60
474,50
475,66
476,88
477,92
478,115
479,124
480,125
481,139
482,154
483,158
484,152
485,156
486,159
487,162
488,166
489,167
490,167
491,168
492,167
493,160
494,154
495,154
496,161
497,162
498,166
499,171
500,172
501,175
502,175
503,174
504,178
505,159
506,148
507,149
508,146
509,136
510,142
511,142
512,142
513,137
514,144
515,141
516,160
517,148
518,164
519,160
520,161
521,162
522,168
523,173
524,170
525,173
526,170
527,172
528,173
529,173
530,175
531,176
532,177
533,178
534,181
535,180
536,181
537,181
538,182
539,185
540,189
541,181
542,159
543,117
544,92
545,85
546,68
547,62
548,58
549,71
550,81
551,95
552,115
553,105
554,100
555,98
556,102
557,110
558,118
559,120
560,122
561,136
562,133
563,118
564,90
565,84
566,89
567,97
568,108
569,120
570,124
571,117
572,131
573,127
574,133
575,149
576,147
577,153
578,156
579,158
580,162
581,169
582,166
583,168
584,174
585,173
586,167
587,169
588,169
589,170
590,169
591,163
592,160
593,146
594,121
595,117
596,117
597,121
598,101
599,86
600,81
601,87
602,103
603,113
604,121
605,136
606,145
607,148
608,148
609,158
610,157
611,160
612,163
613,163
614,167
615,164
616,158
617,162
618,148
619,139
620,144
621,136
622,143
623,134
624,133
625,138
626,137
627,133
628,133
629,146
630,146
631,148
632,159
633,159
634,157
635,155
636,154
637,157
638,161
639,164
640,168
641,145
642,118
643,109
644,110
645,118
646,126
647,130
648,139
649,133
650,105
651,93
652,74
653,55
654,46
655,41
656,41
657,52
658,74
659,90
660,105
661,113
662,121
663,119
664,93
665,86
666,79
667,86
668,96
669,110
670,115
671,105
672,89
673,81
674,81
675,93
676,99
677,112
678,109
679,109
680,107
681,118
682,115
683,85
684,50
685,34
686,34
687,26
688,28
689,42
690,59
691,79
692,96
693,107
694,123
695,125
696,129
697,129
698,113
699,94
700,86
701,92
702,87
703,65
704,59
705,55
706,63
707,80
708,88
709,100
710,111
711,109
712,95
713,103
714,108
715,118
716,120
717,129
718,141
719,138
720,127
721,110
722,91
723,92
724,96
725,93
726,69
727,52
728,46
729,45
730,59
731,70
732,85
733,108
734,114
735,121
736,131
737,147
738,149
739,149
740,145
741,137
742,138
743,139
744,137
745,140
746,141
747,130
748,123
749,129
750,130
751,130
752,136
753,144
754,154
755,157
756,157
757,157
758,156
759,152
760,139
761,142
762,146
763,150
764,148
765,134
766,102
767,84
768,82
769,88
770,100
771,106
772,108
773,112
774,112
775,120
776,121
777,125
778,131
779,136
780,143
781,140
782,140
783,148
784,155
785,156
786,158
787,160
788,164
789,169
790,170
791,172
792,171
793,174
794,175
795,176
796,182
797,188
798,176
799,177
800,177
801,178
802,182
803,182
804,187
805,184
806,175
807,175
808,180
809,184
810,183
811,176
812,158
813,133
814,114
815,109
816,110
817,111
818,120
819,127
820,137
821,142
822,137
823,145
824,158
825,156
826,155
827,164
828,166
829,164
830,160
831,164
832,168
833,164
834,155
835,161
836,139
837,125
838,123
839,132
840,138
841,146
842,142
843,150
844,153
845,158
846,156
847,155
848,158
849,162
850,159
851,156
852,161
853,164
854,168
855,177
856,175
857,144
858,126
859,118
860,118
861,121
862,129
863,132
864,134
865,142
866,157
867,157
868,163
869,163
870,149
871,121
872,94
873,85
874,82
875,91
876,98
877,112
878,128
879,130
880,133
881,141
882,147
883,150
884,155
885,158
886,167
887,167
888,171
889,170
890,174
891,149
892,134
893,120
894,96
895,93
896,99
897,108
898,119
899,126
900,139
901,143
902,145
903,154
904,169
905,170
906,161
907,147
908,133
909,128
910,133
911,136
912,141
913,146
914,145
915,147
916,157
917,154
918,128
919,120
920,113
921,108
922,114
923,123
924,127
925,136
926,144
927,151
928,159
929,160
930,169
931,177
932,167
933,178
934,181
935,176
936,179
937,175
938,156
939,121
940,116
941,126
942,131
943,137
944,139
945,144
946,147
947,146
948,160
949,166
950,146
951,127
952,114
953,98
954,82
955,85
956,96
957,105
958,118
959,127
960,134
961,131
962,126
963,135
964,137
965,140
966,146
967,157
968,158
969,161
970,166
971,168
972,149
973,115
974,96
975,77
976,67
977,62
978,67
979,82
980,97
981,110
982,121
983,133
984,141
985,148
986,156
987,159
988,164
989,167
990,170
991,173
992,176
993,177
994,179
995,179
996,179
997,181
998,162
999,143
1000,133
1001,139
1002,142
1003,149
1004,150
1005,149
1006,155
1007,160
1008,66
1009,168
1010,173
1011,174
1012,174
1013,151
1014,142
1015,137
1016,144
1017,136
1018,144
1019,155
1020,151
1021,151
1022,154
1023,152
1024,155
1025,148
1026,139
1027,138
1028,143
1029,141
1030,119
1031,92
1032,75
1033,67
1034,63
1035,60
1036,70
1037,84
1038,97
1039,115
1040,103
1041,94
1042,97
1043,108
1044,117
1045,126
1046,134
1047,117
1048,98
1049,81
1050,82
1051,83
1052,89
1053,111
1054,106
1055,82
1056,60
1057,50
1058,43
1059,31
1060,24
1061,19
1062,27
1063,38
1064,37
1065,33
1066,36
1067,50
1068,59
1069,61
1070,71
1071,89
1072,100
1073,107
1074,120
1075,129
1076,138
1077,145
1078,151
1079,156
1080,166
1081,170
1082,152
1083,129
