,0,10,20,30,40,50,60,70,80,90
0,90,90,90,90,90,90,90,90,90,90
100,90,90,90,90,90,90,90,90,90,90
200,90,90,90,90,90,90,90,90,90,90
300,90,89.9483,90.0873,89.5142,88.4103,87.1101,85.2588,82.9503,90,90
400,90,92.0375,91.9648,91.274,90.0439,88.8976,87.0789,85.0248,90,90
500,90,94.1261,93.8436,93.0272,91.6772,90.6672,88.8987,87.0428,90,90
600,90,94.7091,94.3481,93.5646,92.3235,91.3554,89.6852,87.7677,90,90
700,90,95.2823,94.8526,94.102,92.9755,92.0547,90.45,88.393,90,90
800,90,95.7653,95.357,94.6394,93.6276,92.7541,91.2148,88.8812,90,90
900,90,96.2483,95.8617,95.1768,94.281,93.4534,91.9796,89.0062,90,90
1000,90,96.6622,96.4297,95.7607,94.9394,94.1527,92.7441,89.1379,90,90
1100,90,96.8096,96.648,96.0828,95.1957,94.3774,93.0351,89.2828,90,90
1200,90,96.9747,96.8362,96.2834,95.4518,94.5868,93.3262,89.4276,90,90
1300,90,97.1817,97.0244,96.4582,95.708,94.7961,93.6172,89.5725,90,90
1400,90,97.3886,97.2127,96.633,95.9655,95.0055,93.9083,90,90,90
1500,90,97.6279,97.3559,96.8681,96.2495,95.3255,94.1296,90,90,90
1600,90,97.5943,97.5,97.0029,96.3893,95.4947,94.2744,90,90,90
1700,90,97.5404,97.5946,97.1214,96.5246,95.6443,94.4192,90,90,90
1800,90,97.6637,97.6566,97.2399,96.6224,95.7939,94.5641,90,90,90
1900,90,97.9941,97.7186,97.358,96.71,95.9435,94.7089,90,90,90
2000,90,98.2653,97.7805,97.4738,96.8654,96.1116,94.8538,90,90,90
2100,90,98.3073,97.8681,97.534,96.9899,96.2682,94.9986,90,90,90
2200,90,98.3491,97.9529,97.5973,97.0929,96.3904,95.1435,90,90,90
2300,90,98.3907,98.0377,97.6606,97.1959,96.5125,95.2883,90,90,90
2400,90,98.4273,98.1225,97.7239,97.2989,96.6347,90,90,90,90
2500,90,98.4638,98.2045,97.8677,97.4019,96.7569,90,90,90,90
2600,90,98.4207,98.235,97.9475,97.4326,96.7934,90,90,90,90
2700,90,98.3777,98.2698,97.9521,97.4662,96.8346,90,90,90,90
2800,90,98.3346,98.3047,97.9566,97.4999,96.8288,90,90,90,90
2900,90,98.2915,98.3395,97.9611,97.5325,96.7184,90,90,90,90
3000,90,98.4155,98.3496,97.9739,97.5663,96.6481,90,90,90,90
3100,90,98.5719,98.3296,97.9868,97.5524,96.5844,90,90,90,90
3200,90,98.5856,98.3454,97.9891,97.4758,96.5462,90,90,90,90
3300,90,98.5994,98.3726,97.9914,97.3654,90,90,90,90,90
3400,90,98.6131,98.4065,97.9937,97.255,90,90,90,90,90
3500,90,98.6257,98.543,97.996,97.1885,90,90,90,90,90
3600,90,98.5998,98.4298,97.9583,97.1258,90,90,90,90,90
3700,90,98.5781,98.4137,97.912,97.0624,90,90,90,90,90
3800,90,98.5563,98.3976,97.8656,96.9985,90,90,90,90,90
3900,90,98.5346,98.3815,97.7917,96.9346,90,90,90,90,90
4000,90,98.4773,98.3328,97.729,96.9139,90,90,90,90,90
4100,90,98.382,98.2831,97.6663,96.896,90,90,90,90,90
4200,90,98.3048,98.2627,97.6036,90,90,90,90,90,90
4300,90,98.2276,98.2424,97.5404,90,90,90,90,90,90
4400,90,98.1504,98.222,97.4765,90,90,90,90,90,90
4500,90,98.2289,98.2116,97.4126,90,90,90,90,90,90
4600,90,98.1687,98.1906,97.3487,90,90,90,90,90,90
4700,90,98.1594,98.1263,97.2994,90,90,90,90,90,90
4800,90,98.15,98.0423,97.2815,90,90,90,90,90,90
4900,90,98.1406,97.9747,97.2637,90,90,90,90,90,90
5000,90,98.1312,97.9072,97.2459,90,90,90,90,90,90
5100,90,98.0908,97.8666,90,90,90,90,90,90,90
5200,90,98.0503,97.8168,90,90,90,90,90,90,90
5300,90,98.0098,97.767,90,90,90,90,90,90,90
5400,90,97.9693,97.7172,90,90,90,90,90,90,90
5500,90,97.9287,97.6455,90,90,90,90,90,90,90
5600,90,97.6285,97.5793,90,90,90,90,90,90,90
5700,90,97.6062,97.588,90,90,90,90,90,90,90
5800,90,97.8145,97.6273,90,90,90,90,90,90,90
5900,90,90,90,90,90,90,90,90,90,90
6000,90,90,90,90,90,90,90,90,90,90
6100,90,90,90,90,90,90,90,90,90,90
6200,90,90,90,90,90,90,90,90,90,90
6300,90,90,90,90,90,90,90,90,90,90
6400,90,90,90,90,90,90,90,90,90,90
6500,90,90,90,90,90,90,90,90,90,90
6600,90,90,90,90,90,90,90,90,90,90
6700,90,90,90,90,90,90,90,90,90,90
6800,90,90,90,90,90,90,90,90,90,90
6900,90,90,90,90,90,90,90,90,90,90
7000,90,90,90,90,90,90,90,90,90,90
